Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Cover Type,soil_type_4,LS Chi Square,0,0,0
Cover Type,soil_type_4,LS Squared Gini,0,0,0
Cover Type,soil_type_4,Twoing,0,0,0
Cover Type,soil_type_40,LS Chi Square,0,0,0
Cover Type,soil_type_40,LS Squared Gini,0,0,0
Cover Type,soil_type_40,Twoing,0,0,0
Cover Type,soil_type_5,LS Chi Square,0,0,0
Cover Type,soil_type_5,LS Squared Gini,0,0,0
Cover Type,soil_type_5,Twoing,0,0,0
Cover Type,soil_type_6,LS Chi Square,0,0,0
Cover Type,soil_type_6,LS Squared Gini,0,0,0
Cover Type,soil_type_6,Twoing,0,0,0
Cover Type,soil_type_7,LS Chi Square,0,0,0
Cover Type,soil_type_7,LS Squared Gini,0,0,0
Cover Type,soil_type_7,Twoing,0,0,0
Cover Type,soil_type_8,LS Chi Square,0,0,0
Cover Type,soil_type_8,LS Squared Gini,0,0,0
Cover Type,soil_type_8,Twoing,0,0,0
Cover Type,soil_type_9,LS Chi Square,0,0,0
Cover Type,soil_type_9,LS Squared Gini,0,0,0
Cover Type,soil_type_9,Twoing,0,0,0
Cover Type,wilderness_area_2,LS Chi Square,0,0,0
Cover Type,wilderness_area_2,LS Squared Gini,0,0,0
Cover Type,wilderness_area_2,Twoing,0,0,0
Cover Type,wilderness_area_3,LS Chi Square,0,0,0
Cover Type,wilderness_area_3,LS Squared Gini,0,0,0
Cover Type,wilderness_area_3,Twoing,0,0,0
Cover Type,wilderness_area_4,LS Chi Square,0,0,0
Cover Type,wilderness_area_4,LS Squared Gini,0,0,0
Cover Type,wilderness_area_4,Twoing,0,0,0
