N1,C1,N2,C2,N3,C3,N4,C4,N5,C5,Classe
V2,V11,V2,V3,V3,V1,V2,V9,V3,V2, c0
V1,V13,V1,V3,V1,V12,V4,V11,V2,V12, c1
V2,V7,V1,V6,V3,V6,V4,V13,V4,V9, c1
V2,V1,V3,V2,V2,V10,V4,V1,V4,V12, c1
V2,V2,V2,V8,V4,V9,V3,V12,V4,V5, c0
V4,V9,V2,V11,V4,V7,V3,V12,V1,V4, c0
V1,V6,V3,V9,V2,V8,V2,V2,V4,V9, c1
V1,V7,V4,V4,V4,V12,V3,V7,V2,V2, c1
V4,V10,V2,V1,V4,V11,V3,V11,V2,V11, c3
V3,V12,V1,V1,V3,V13,V4,V11,V2,V7, c0
V4,V5,V3,V11,V2,V7,V4,V8,V3,V8, c1
V3,V4,V2,V11,V4,V8,V1,V12,V4,V6, c0
V4,V1,V3,V10,V3,V3,V3,V13,V3,V11, c0
V2,V2,V3,V4,V4,V13,V1,V5,V2,V13, c1
V1,V2,V2,V9,V1,V12,V3,V10,V1,V11, c0
V1,V3,V2,V1,V3,V13,V3,V4,V1,V9, c0
V3,V6,V2,V13,V4,V13,V3,V10,V2,V12, c1
V3,V9,V4,V12,V4,V10,V1,V3,V1,V6, c0
V4,V7,V3,V2,V4,V5,V3,V9,V2,V5, c1
V4,V2,V2,V7,V3,V13,V2,V12,V1,V7, c1
V2,V3,V1,V5,V3,V7,V4,V1,V3,V8, c0
V2,V9,V1,V4,V2,V5,V2,V10,V4,V1, c0
V3,V1,V4,V10,V2,V10,V1,V5,V2,V11, c1
V2,V13,V4,V6,V1,V11,V3,V3,V4,V7, c0
V4,V11,V3,V13,V1,V1,V1,V13,V2,V2, c1
V2,V12,V2,V4,V3,V2,V2,V7,V4,V12, c1
V1,V2,V4,V2,V4,V10,V2,V11,V3,V1, c1
V1,V4,V1,V3,V1,V12,V4,V8,V4,V13, c0
V4,V11,V4,V12,V3,V4,V1,V9,V2,V13, c0
V2,V10,V3,V9,V4,V13,V1,V12,V2,V7, c0
V4,V11,V4,V8,V3,V2,V4,V10,V3,V3, c0
V2,V10,V4,V3,V4,V11,V1,V4,V2,V7, c0
V3,V10,V1,V9,V4,V3,V2,V4,V1,V4, c1
V3,V12,V3,V10,V4,V6,V2,V6,V2,V13, c1
V1,V11,V3,V5,V2,V13,V4,V12,V2,V2, c0
V3,V6,V4,V2,V3,V10,V2,V7,V1,V8, c0
V4,V12,V3,V1,V2,V13,V2,V6,V2,V1, c1
V3,V12,V4,V2,V4,V3,V3,V13,V2,V8, c0
V4,V12,V2,V9,V2,V5,V2,V12,V3,V10, c1
V2,V5,V2,V2,V2,V8,V4,V6,V1,V9, c0
V3,V2,V4,V7,V4,V4,V4,V5,V1,V3, c0
V4,V1,V4,V7,V3,V6,V2,V3,V4,V10, c0
V3,V10,V1,V7,V4,V7,V2,V6,V2,V4, c1
V1,V11,V3,V3,V4,V12,V1,V4,V1,V6, c0
V1,V2,V3,V4,V1,V12,V2,V8,V3,V1, c0
V4,V5,V4,V7,V3,V1,V3,V9,V2,V3, c0
V2,V13,V4,V5,V2,V11,V3,V9,V4,V10, c0
V3,V7,V2,V3,V3,V12,V2,V10,V2,V2, c0
V1,V13,V1,V8,V4,V6,V1,V11,V2,V7, c0
V4,V12,V2,V2,V4,V11,V4,V3,V3,V1, c0
V1,V13,V2,V5,V4,V12,V2,V12,V4,V1, c1
V3,V7,V1,V9,V2,V2,V4,V6,V4,V1, c0
V4,V8,V4,V10,V4,V5,V1,V11,V1,V9, c0
V1,V8,V4,V7,V4,V13,V2,V6,V3,V6, c1
V4,V5,V2,V4,V3,V9,V1,V10,V2,V13, c0
V4,V3,V2,V2,V4,V10,V1,V4,V4,V11, c0
V3,V8,V1,V8,V2,V5,V3,V3,V3,V1, c1
V3,V7,V2,V5,V1,V11,V3,V4,V3,V5, c1
V2,V4,V1,V4,V1,V7,V4,V8,V1,V5, c1
V2,V10,V3,V10,V2,V13,V2,V6,V1,V6, c2
V4,V9,V3,V11,V3,V8,V1,V4,V3,V13, c0
V4,V7,V2,V12,V3,V3,V1,V8,V1,V7, c1
V1,V5,V1,V1,V3,V3,V2,V12,V3,V11, c0
V1,V4,V1,V6,V4,V13,V2,V13,V4,V3, c1
V4,V3,V2,V13,V2,V4,V3,V7,V1,V2, c0
V2,V7,V4,V10,V1,V10,V1,V2,V4,V5, c1
V2,V9,V2,V4,V1,V10,V3,V7,V2,V7, c1
V3,V3,V3,V8,V4,V8,V1,V1,V1,V11, c1
V4,V7,V4,V11,V3,V5,V3,V12,V1,V3, c0
V1,V1,V4,V8,V2,V4,V3,V10,V4,V5, c0
V2,V12,V4,V2,V1,V5,V3,V10,V1,V10, c1
V4,V2,V4,V8,V4,V7,V1,V3,V4,V6, c0
V2,V4,V1,V8,V1,V12,V1,V9,V4,V10, c0
V2,V3,V1,V6,V2,V12,V3,V6,V4,V5, c1
V3,V1,V3,V9,V4,V13,V1,V5,V3,V7, c0
V2,V6,V4,V4,V1,V13,V4,V6,V4,V5, c1
V4,V3,V4,V10,V2,V8,V1,V7,V3,V10, c1
V3,V10,V2,V9,V1,V1,V2,V11,V2,V8, c0
V4,V6,V3,V3,V3,V7,V2,V4,V2,V2, c0
V2,V1,V2,V7,V1,V12,V4,V8,V1,V5, c0
V4,V5,V1,V11,V3,V10,V1,V1,V3,V1, c1
V4,V1,V4,V11,V3,V10,V2,V9,V3,V2, c0
V3,V11,V2,V7,V2,V12,V2,V5,V1,V7, c1
V3,V1,V4,V6,V4,V13,V4,V11,V4,V12, c0
V1,V1,V2,V3,V3,V2,V4,V10,V1,V9, c0
V1,V13,V3,V1,V2,V10,V2,V6,V1,V12, c0
V2,V10,V3,V1,V3,V9,V2,V9,V3,V5, c1
V2,V13,V1,V1,V2,V12,V1,V7,V2,V7, c1
V3,V5,V1,V8,V4,V11,V4,V6,V2,V3, c0
V3,V10,V2,V3,V2,V1,V4,V7,V4,V10, c1
V4,V11,V2,V13,V2,V8,V2,V1,V4,V12, c0
V2,V5,V1,V2,V3,V4,V4,V8,V3,V9, c0
V1,V12,V3,V3,V2,V2,V2,V4,V2,V8, c0
V4,V6,V2,V10,V2,V12,V3,V5,V1,V11, c0
V3,V1,V2,V11,V4,V11,V1,V13,V2,V2, c1
V2,V4,V2,V7,V4,V4,V2,V6,V2,V8, c1
V1,V3,V4,V3,V4,V4,V3,V1,V4,V13, c1
V3,V3,V1,V1,V4,V3,V2,V13,V4,V8, c1
V4,V7,V1,V3,V4,V4,V4,V1,V3,V11, c0
V4,V2,V2,V3,V3,V8,V4,V7,V2,V13, c0
V4,V5,V2,V5,V2,V1,V4,V8,V1,V13, c1
V4,V9,V3,V13,V4,V10,V2,V2,V1,V7, c0
V2,V12,V2,V9,V4,V1,V4,V2,V1,V11, c0
V1,V10,V3,V9,V3,V10,V1,V8,V4,V13, c1
V4,V2,V4,V4,V1,V5,V4,V10,V3,V3, c0
V1,V3,V4,V10,V4,V8,V4,V4,V4,V13, c0
V3,V12,V2,V2,V4,V11,V3,V8,V2,V1, c0
V1,V6,V2,V1,V1,V8,V3,V9,V1,V5, c0
V2,V1,V2,V9,V3,V9,V3,V13,V2,V8, c1
V4,V10,V1,V11,V3,V12,V4,V5,V3,V6, c0
V3,V10,V1,V12,V1,V7,V3,V13,V2,V12, c1
V3,V10,V2,V7,V4,V2,V3,V12,V2,V2, c1
V2,V7,V4,V9,V1,V5,V3,V9,V3,V6, c1
V2,V4,V2,V2,V2,V5,V4,V1,V4,V4, c1
V3,V1,V2,V3,V4,V12,V3,V13,V3,V8, c0
V1,V12,V2,V8,V2,V2,V1,V1,V3,V8, c1
V2,V12,V4,V5,V3,V10,V2,V13,V4,V8, c0
V1,V1,V1,V13,V4,V11,V3,V13,V4,V4, c1
V4,V2,V1,V13,V2,V6,V2,V7,V2,V11, c0
V3,V8,V1,V3,V4,V10,V3,V12,V2,V1, c0
V3,V2,V3,V11,V1,V12,V1,V13,V3,V9, c0
V3,V13,V1,V2,V3,V2,V1,V9,V3,V11, c1
V1,V12,V2,V10,V1,V4,V1,V3,V1,V6, c0
V2,V11,V2,V6,V4,V8,V4,V7,V2,V12, c0
V3,V6,V2,V11,V3,V2,V3,V10,V1,V11, c1
V1,V8,V2,V9,V2,V10,V4,V13,V3,V1, c0
V4,V8,V2,V11,V2,V12,V3,V3,V4,V11, c1
V3,V13,V1,V3,V2,V7,V1,V8,V4,V8, c1
V1,V11,V1,V1,V3,V10,V4,V9,V3,V6, c0
V2,V13,V2,V11,V2,V6,V4,V9,V3,V4, c0
V1,V11,V1,V8,V3,V3,V2,V7,V1,V12, c0
V1,V7,V3,V1,V1,V5,V1,V1,V2,V3, c1
V3,V12,V2,V7,V4,V4,V1,V2,V2,V10, c0
V4,V10,V1,V4,V4,V2,V2,V11,V1,V1, c0
V1,V4,V1,V12,V1,V2,V4,V9,V2,V12, c1
V4,V10,V3,V9,V3,V12,V2,V2,V1,V11, c0
V4,V11,V1,V1,V2,V1,V1,V3,V3,V5, c1
V3,V7,V4,V3,V4,V8,V3,V10,V4,V2, c0
V3,V1,V3,V10,V1,V4,V2,V10,V2,V3, c1
V3,V13,V2,V4,V2,V9,V2,V3,V3,V3, c1
V3,V11,V2,V10,V3,V12,V1,V3,V1,V10, c1
V1,V2,V4,V12,V3,V6,V2,V5,V4,V4, c0
V4,V2,V3,V4,V4,V9,V2,V1,V2,V6, c0
V2,V7,V2,V3,V3,V13,V1,V5,V4,V5, c1
V2,V9,V4,V8,V2,V8,V2,V3,V2,V7, c1
V4,V6,V4,V12,V1,V2,V1,V8,V2,V7, c0
V3,V8,V1,V13,V1,V7,V4,V7,V3,V13, c2
V3,V9,V1,V13,V4,V8,V4,V9,V1,V6, c1
V1,V11,V1,V10,V4,V10,V3,V13,V1,V13, c2
V1,V11,V1,V10,V3,V3,V4,V6,V3,V4, c0
V3,V9,V3,V1,V1,V10,V4,V5,V3,V4, c0
V4,V12,V3,V1,V2,V1,V1,V11,V4,V11, c2
V4,V2,V1,V8,V2,V6,V2,V10,V3,V8, c1
V4,V7,V3,V7,V4,V9,V4,V3,V4,V10, c1
V1,V12,V4,V4,V2,V9,V3,V6,V3,V1, c0
V3,V7,V2,V7,V3,V4,V3,V6,V1,V3, c1
V4,V6,V2,V9,V4,V7,V1,V8,V3,V8, c1
V4,V12,V1,V3,V3,V3,V4,V7,V3,V10, c1
V1,V11,V2,V6,V2,V3,V4,V12,V4,V11, c1
V3,V8,V3,V6,V2,V11,V3,V5,V2,V4, c0
V3,V4,V2,V11,V1,V9,V2,V1,V3,V8, c0
V2,V5,V1,V4,V4,V2,V4,V10,V1,V6, c0
V4,V3,V3,V5,V2,V12,V1,V2,V4,V4, c0
V3,V6,V2,V13,V3,V9,V1,V13,V1,V10, c1
V2,V11,V3,V6,V4,V7,V3,V2,V3,V11, c1
V1,V1,V2,V5,V3,V10,V1,V4,V1,V6, c0
V3,V10,V1,V8,V1,V6,V4,V1,V2,V2, c0
V1,V6,V1,V4,V1,V1,V4,V11,V2,V13, c0
V2,V9,V2,V4,V1,V13,V1,V3,V3,V2, c0
V3,V1,V2,V9,V2,V8,V2,V6,V1,V1, c1
V4,V6,V1,V9,V3,V8,V4,V1,V4,V11, c0
V3,V7,V1,V4,V2,V2,V3,V2,V2,V12, c1
V2,V7,V2,V13,V3,V10,V1,V9,V1,V10, c1
V4,V9,V2,V2,V1,V11,V2,V12,V3,V11, c1
V2,V3,V3,V4,V2,V8,V4,V4,V3,V12, c1
V2,V8,V1,V6,V2,V6,V2,V7,V3,V13, c1
V1,V1,V1,V12,V4,V3,V4,V6,V3,V1, c1
V2,V12,V4,V11,V2,V3,V3,V1,V3,V13, c0
V4,V10,V1,V5,V3,V7,V4,V9,V1,V9, c1
V4,V9,V2,V13,V1,V3,V2,V6,V3,V5, c0
V1,V5,V4,V3,V4,V12,V3,V5,V2,V13, c1
V4,V9,V1,V12,V4,V1,V1,V4,V3,V1, c1
V1,V8,V2,V8,V1,V7,V1,V12,V2,V4, c1
V4,V5,V3,V2,V2,V7,V1,V9,V4,V12, c0
V1,V8,V2,V2,V2,V3,V4,V2,V2,V7, c1
V1,V3,V2,V13,V3,V4,V4,V5,V1,V5, c1
V4,V4,V2,V3,V3,V12,V1,V10,V3,V10, c1
V4,V4,V2,V8,V4,V12,V1,V4,V3,V2, c1
V3,V13,V2,V2,V4,V13,V4,V6,V3,V2, c2
V4,V10,V4,V3,V4,V6,V4,V1,V2,V13, c0
V3,V10,V3,V7,V1,V8,V3,V5,V2,V11, c0
V4,V8,V3,V5,V4,V6,V4,V2,V4,V7, c0
V4,V12,V4,V7,V2,V4,V3,V13,V3,V11, c0
V1,V9,V4,V8,V1,V3,V3,V13,V1,V12, c0
V4,V6,V1,V7,V4,V9,V2,V10,V4,V11, c0
V2,V7,V1,V4,V1,V12,V1,V13,V4,V4, c1
V4,V10,V2,V9,V2,V4,V4,V13,V3,V9, c1
V2,V10,V4,V1,V1,V2,V4,V12,V4,V4, c0
V1,V2,V2,V10,V4,V1,V2,V2,V4,V5, c1
V2,V8,V4,V11,V2,V5,V4,V5,V4,V2, c1
V1,V13,V3,V12,V2,V12,V1,V9,V4,V12, c3
V1,V6,V4,V5,V3,V8,V2,V13,V4,V2, c0
V3,V2,V3,V11,V1,V1,V4,V7,V4,V2, c1
V2,V7,V1,V1,V2,V6,V3,V10,V4,V8, c0
V3,V7,V4,V2,V4,V8,V1,V13,V1,V1, c0
V4,V7,V2,V13,V4,V2,V3,V12,V4,V5, c0
V3,V4,V1,V13,V3,V8,V3,V5,V1,V3, c0
V2,V12,V4,V4,V4,V6,V1,V12,V1,V9, c1
V4,V1,V1,V13,V1,V7,V3,V13,V3,V11, c1
V1,V10,V2,V10,V4,V2,V2,V6,V4,V4, c1
V4,V12,V2,V4,V1,V11,V4,V13,V4,V6, c0
V1,V11,V3,V9,V2,V3,V4,V6,V4,V1, c0
V1,V5,V1,V7,V4,V7,V1,V13,V3,V11, c1
V3,V10,V1,V2,V4,V12,V4,V6,V3,V5, c0
V3,V2,V1,V4,V3,V12,V1,V10,V3,V8, c0
V2,V3,V1,V13,V1,V4,V2,V13,V4,V8, c1
V1,V1,V1,V13,V4,V1,V2,V6,V4,V10, c1
V1,V6,V1,V13,V3,V11,V3,V6,V1,V2, c1
V3,V8,V1,V12,V2,V9,V1,V2,V2,V5, c0
V1,V11,V1,V13,V4,V9,V1,V7,V3,V13, c1
V1,V6,V4,V2,V4,V9,V1,V7,V2,V5, c0
V1,V1,V4,V10,V4,V6,V2,V3,V3,V4, c0
V4,V7,V4,V12,V2,V3,V4,V5,V2,V6, c0
V1,V6,V3,V1,V1,V11,V1,V2,V4,V5, c0
V4,V3,V2,V12,V4,V12,V1,V13,V3,V10, c1
V4,V10,V2,V4,V2,V5,V1,V3,V4,V13, c0
V2,V7,V1,V3,V1,V1,V1,V7,V2,V3, c2
V3,V12,V3,V2,V1,V5,V2,V1,V1,V8, c0
V1,V8,V1,V12,V2,V10,V1,V2,V3,V7, c0
V4,V12,V2,V11,V4,V11,V1,V9,V3,V11, c3
V1,V4,V2,V6,V1,V13,V4,V10,V1,V7, c0
V1,V7,V2,V13,V2,V12,V1,V1,V2,V9, c0
V1,V3,V3,V5,V1,V1,V2,V4,V3,V8, c0
V4,V1,V2,V5,V4,V12,V2,V6,V3,V9, c0
V1,V5,V4,V9,V3,V3,V4,V7,V3,V8, c0
V3,V9,V1,V12,V3,V7,V4,V12,V2,V9, c2
V4,V2,V3,V4,V1,V1,V3,V10,V4,V8, c0
V3,V7,V3,V12,V1,V12,V4,V3,V4,V4, c1
V2,V3,V4,V7,V1,V7,V1,V13,V3,V7, c3
V1,V3,V2,V13,V2,V5,V3,V10,V3,V7, c0
V4,V4,V4,V9,V1,V7,V1,V9,V4,V5, c1
V4,V9,V4,V7,V1,V9,V3,V7,V4,V5, c2
V1,V4,V1,V7,V3,V7,V1,V3,V1,V13, c1
V4,V9,V4,V4,V3,V7,V3,V8,V1,V6, c0
V1,V11,V2,V9,V4,V10,V4,V5,V1,V9, c1
V2,V11,V1,V2,V1,V3,V3,V11,V4,V4, c1
V2,V12,V1,V2,V4,V12,V4,V8,V2,V11, c1
V1,V2,V4,V6,V4,V13,V1,V13,V2,V13, c3
V2,V1,V3,V6,V2,V2,V4,V4,V3,V1, c1
V4,V4,V4,V6,V3,V12,V1,V8,V1,V3, c0
V1,V9,V2,V13,V4,V5,V1,V11,V2,V9, c1
V1,V5,V1,V11,V3,V6,V2,V8,V1,V7, c0
V4,V5,V3,V4,V4,V7,V2,V2,V4,V9, c0
V3,V7,V2,V9,V4,V4,V4,V11,V1,V13, c0
V3,V4,V1,V10,V3,V6,V3,V9,V2,V3, c0
V2,V13,V4,V8,V4,V13,V4,V6,V3,V2, c1
V4,V10,V3,V12,V3,V7,V1,V12,V2,V5, c1
V2,V13,V4,V12,V4,V13,V1,V7,V4,V8, c1
V1,V3,V2,V6,V1,V6,V2,V13,V3,V11, c1
V1,V7,V4,V1,V4,V11,V3,V3,V4,V12, c0
V1,V5,V2,V1,V3,V5,V3,V2,V1,V6, c1
V3,V13,V1,V13,V2,V1,V3,V8,V1,V4, c1
V1,V4,V2,V9,V2,V5,V3,V5,V4,V7, c1
V2,V7,V4,V7,V1,V4,V3,V11,V3,V9, c1
V1,V2,V3,V9,V4,V2,V4,V9,V1,V8, c2
V3,V9,V3,V2,V4,V6,V3,V10,V3,V7, c0
V4,V3,V1,V4,V3,V8,V4,V7,V3,V9, c0
V2,V9,V2,V5,V3,V4,V2,V10,V2,V7, c0
V1,V12,V4,V12,V4,V8,V4,V11,V2,V12, c3
V2,V1,V4,V6,V1,V4,V1,V9,V1,V1, c1
V2,V10,V4,V6,V4,V11,V4,V5,V2,V12, c0
V1,V8,V1,V11,V4,V2,V4,V7,V3,V1, c0
V4,V5,V2,V11,V2,V2,V4,V9,V3,V7, c0
V2,V12,V1,V7,V2,V9,V4,V8,V3,V7, c1
V2,V9,V2,V2,V3,V7,V4,V13,V3,V11, c0
V3,V6,V3,V8,V2,V12,V4,V8,V3,V11, c1
V2,V9,V4,V8,V4,V2,V4,V9,V4,V11, c1
V3,V4,V2,V10,V3,V3,V4,V13,V4,V4, c1
V4,V5,V4,V2,V2,V10,V4,V11,V2,V11, c1
V2,V7,V3,V3,V4,V3,V4,V10,V3,V12, c1
V2,V4,V2,V7,V1,V7,V3,V4,V2,V5, c2
V4,V7,V3,V2,V2,V3,V4,V13,V4,V2, c1
V3,V4,V3,V13,V2,V8,V3,V9,V1,V9, c1
V4,V8,V1,V9,V3,V8,V1,V8,V4,V3, c3
V4,V3,V2,V1,V2,V10,V1,V2,V4,V4, c0
V3,V7,V1,V4,V3,V3,V2,V8,V1,V1, c0
V4,V7,V1,V13,V2,V3,V1,V9,V4,V1, c0
V4,V9,V2,V7,V3,V13,V2,V1,V3,V12, c0
V4,V4,V3,V7,V4,V1,V4,V3,V2,V9, c0
V3,V8,V4,V2,V2,V13,V3,V13,V4,V11, c1
V2,V12,V3,V11,V2,V9,V4,V8,V2,V7, c0
V1,V11,V1,V7,V4,V9,V1,V5,V3,V10, c0
V4,V1,V3,V9,V3,V2,V2,V11,V2,V9, c1
V2,V4,V3,V12,V2,V1,V2,V7,V1,V7, c1
V3,V3,V1,V13,V2,V9,V2,V8,V3,V8, c1
V4,V1,V2,V6,V3,V8,V3,V2,V1,V6, c1
V4,V5,V1,V8,V2,V12,V1,V12,V1,V13, c1
V4,V11,V2,V2,V4,V10,V3,V12,V1,V7, c0
V4,V4,V1,V7,V3,V13,V3,V12,V2,V2, c0
V3,V8,V2,V12,V4,V11,V4,V1,V3,V9, c0
V2,V7,V4,V12,V4,V2,V3,V13,V1,V5, c0
V2,V5,V3,V5,V3,V2,V2,V13,V4,V4, c1
V1,V11,V3,V12,V3,V10,V4,V9,V2,V13, c4
V2,V13,V1,V3,V1,V7,V2,V9,V3,V7, c1
V1,V1,V3,V2,V4,V6,V2,V11,V4,V12, c0
V3,V5,V1,V12,V3,V3,V1,V7,V1,V9, c0
V4,V9,V2,V4,V1,V3,V3,V7,V1,V12, c0
V4,V11,V1,V12,V3,V7,V2,V4,V2,V1, c0
V4,V2,V3,V11,V2,V4,V4,V13,V2,V13, c1
V4,V1,V2,V1,V4,V3,V2,V4,V2,V8, c1
V4,V4,V1,V5,V2,V3,V1,V11,V4,V13, c0
V2,V5,V3,V5,V4,V12,V2,V2,V3,V12, c2
V1,V8,V4,V10,V2,V11,V3,V4,V3,V3, c0
V4,V6,V4,V3,V1,V5,V1,V11,V2,V8, c0
V4,V6,V1,V11,V3,V5,V2,V5,V1,V10, c1
V2,V2,V3,V5,V1,V6,V3,V10,V3,V3, c0
V4,V10,V2,V1,V2,V11,V1,V2,V4,V13, c0
V1,V11,V2,V10,V3,V9,V2,V2,V1,V6, c0
V1,V10,V2,V3,V2,V4,V1,V8,V4,V11, c0
V4,V11,V3,V4,V4,V2,V2,V4,V1,V6, c1
V2,V9,V3,V4,V2,V11,V4,V4,V4,V9, c2
V1,V4,V4,V9,V3,V2,V1,V12,V2,V6, c0
