AnimalType,SexUponOutcome,AgeUponOutcome,Breed1,Breed2,Color,Outcome
Dog,Spayed Female,1460,Black Mouth Cur Mix,Black Mouth Cur Mix,Tan/Black,Return_to_owner/
Dog,Neutered Male,730,Dachshund,Beagle,Brown/White,Adoption/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Dog,Spayed Female,4015,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Brown/Black,Euthanasia/Suffering
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,730,Dachshund Mix,Dachshund Mix,Tan/White,Adoption/
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,2190,Maltese Mix,Maltese Mix,White,Return_to_owner/
Dog,Neutered Male,180,Pointer Mix,Pointer Mix,Black/White,Transfer/Partner
Dog,Intact Female,60,English Foxhound,English Foxhound,Buff,Transfer/Partner
Cat,Unknown,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red,Adoption/
Dog,Neutered Male,60,Vizsla Mix,Vizsla Mix,Brown,Adoption/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Transfer/Partner
Dog,Spayed Female,1095,German Shepherd,Great Pyrenees,White,Adoption/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Return_to_owner/
Dog,Spayed Female,1460,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Blue/Tan,Return_to_owner/
Dog,Spayed Female,730,Cardigan Welsh Corgi,Chihuahua Shorthair,Tan,Transfer/Partner
Cat,Spayed Female,90,Domestic Longhair,Domestic Longhair,Brown Tabby,Adoption/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Euthanasia/Suffering
Dog,Neutered Male,60,Chow Chow,Pit Bull,Black,Adoption/
Cat,Spayed Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Dog,Neutered Male,365,Chihuahua Shorthair,Chihuahua Shorthair,White,Adoption/Foster
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Euthanasia/Suffering
Cat,Unknown,28,Siamese Mix,Siamese Mix,Seal Point,Transfer/Partner
Cat,Intact Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/SCRP
Dog,Neutered Male,4380,Pit Bull Mix,Pit Bull Mix,Brown Brindle,Euthanasia/Suffering
Dog,Neutered Male,365,Dachshund,Beagle,Brown/White,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Intact Female,90,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Transfer/Partner
Cat,Spayed Female,90,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Adoption/
Dog,Neutered Male,150,Plott Hound Mix,Plott Hound Mix,Brown Brindle/White,Adoption/
Dog,Spayed Female,1095,Boxer,Great Dane,Black,Adoption/
Dog,Spayed Female,2555,Lhasa Apso,Lhasa Apso,White/Black,Transfer/Partner
Dog,Spayed Female,730,German Shepherd Mix,German Shepherd Mix,Black/Tan,Euthanasia/Aggressive
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,3285,Beagle,Treeing Walker Coonhound,White/Brown,Adoption/
Dog,Neutered Male,210,Border Collie Mix,Border Collie Mix,Black/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Intact Male,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Dog,Neutered Male,1095,Border Terrier Mix,Border Terrier Mix,Gray,Adoption/
Dog,Neutered Male,1825,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/White,Adoption/
Dog,Neutered Male,1825,Boxer Mix,Boxer Mix,Brown Brindle/White,Transfer/Partner
Cat,Intact Female,14,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,Transfer/Partner
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Spayed Female,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Dog,Neutered Male,1460,Cairn Terrier Mix,Cairn Terrier Mix,Tan/White,Return_to_owner/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Tan,Return_to_owner/
Dog,Neutered Male,730,Dogo Argentino Mix,Dogo Argentino Mix,White,Adoption/
Dog,Neutered Male,3285,Dachshund Mix,Dachshund Mix,Black/Brown,Return_to_owner/
Dog,Neutered Male,1825,Beagle Mix,Beagle Mix,Tricolor,Return_to_owner/
Dog,Neutered Male,365,Chihuahua Shorthair,Dachshund,Yellow Brindle/White,Euthanasia/Aggressive
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Fawn/White,Adoption/
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Intact Male,150,Pit Bull Mix,Pit Bull Mix,White/Brown,Transfer/Partner
Cat,Intact Male,2190,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Euthanasia/Suffering
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Dog,Intact Male,90,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Transfer/Partner
Cat,Intact Female,30,Domestic Longhair Mix,Domestic Longhair Mix,Calico,Transfer/Partner
Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Return_to_owner/
Dog,Neutered Male,1825,Dachshund Mix,Dachshund Mix,Black,Return_to_owner/
Dog,Neutered Male,2920,Miniature Schnauzer,Miniature Poodle,Black,Adoption/
Dog,Spayed Female,60,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/Offsite
Cat,Intact Female,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Euthanasia/Suffering
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Dog,Neutered Male,1825,Pit Bull,Pit Bull,Black,Adoption/
Dog,Neutered Male,365,Pit Bull Mix,Pit Bull Mix,White/Brown,Adoption/
Cat,Intact Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/White,Return_to_owner/
Dog,Spayed Female,3285,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate/White,Return_to_owner/
Dog,Spayed Female,1095,Pit Bull Mix,Pit Bull Mix,Red/White,Adoption/
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Return_to_owner/
Dog,Spayed Female,365,Chihuahua Shorthair,Jack Russell Terrier,Black/White,Adoption/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Tan,Transfer/Partner
Dog,Spayed Female,365,Pit Bull,Pit Bull,Brown Brindle,Return_to_owner/
Cat,Neutered Male,730,Siamese Mix,Siamese Mix,Flame Point,Transfer/Partner
Dog,Spayed Female,730,Tibetan Terrier Mix,Tibetan Terrier Mix,Brown,Return_to_owner/
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/SCRP
Cat,Unknown,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/SCRP
Dog,Spayed Female,30,Miniature Pinscher,Chihuahua Shorthair,Tricolor,Adoption/Foster
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Cat,Neutered Male,300,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Adoption/Offsite
Cat,Spayed Female,730,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby/White,Transfer/Partner
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Adoption/
Dog,Neutered Male,180,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,365,Dachshund Mix,Dachshund Mix,Tan,Adoption/
Dog,Intact Female,180,Dachshund Mix,Dachshund Mix,Brown/White,Transfer/Partner
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/Partner
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/Foster
Dog,Spayed Female,330,Blue Lacy Mix,Blue Lacy Mix,Blue/White,Adoption/
Dog,Neutered Male,90,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Transfer/Partner
Dog,Spayed Female,730,Dachshund Longhair,Dachshund Longhair,Brown,Return_to_owner/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Red,Transfer/Partner
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Brown/White,Adoption/
Cat,Spayed Female,120,Domestic Longhair,Domestic Longhair,Calico,Adoption/
Dog,Intact Female,120,Dachshund,Chihuahua Shorthair,Red,Transfer/Partner
Cat,Intact Female,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/SCRP
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Tabby/White,Adoption/Foster
Dog,Neutered Male,2555,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/White,Transfer/Partner
Cat,Neutered Male,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/Foster
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie/Calico,Transfer/Partner
Dog,Neutered Male,180,Border Collie Mix,Border Collie Mix,Black/White,Adoption/
Dog,Intact Female,150,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Dog,Spayed Female,2920,Maltese,Maltese,White,Return_to_owner/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Spayed Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Adoption/
Dog,Spayed Female,150,Labrador Retriever Mix,Labrador Retriever Mix,White,Return_to_owner/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/SCRP
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Adoption/
Dog,Neutered Male,730,Labrador Retriever,Rottweiler,Black/Brown,Adoption/
Cat,Spayed Female,4015,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/Partner
Dog,Neutered Male,60,Dachshund,Manchester Terrier,Tricolor,Adoption/Foster
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Transfer/Partner
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,30,Plott Hound,Labrador Retriever,Black/Brown Brindle,Adoption/
Dog,Spayed Female,2555,Chihuahua Shorthair,Rat Terrier,White/Tan,Return_to_owner/
Cat,Intact Male,4,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby/White,Transfer/Partner
Dog,Neutered Male,1460,Siberian Husky,Siberian Husky,White/Gray,Return_to_owner/
Dog,Spayed Female,730,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Tan/White,Transfer/Partner
Dog,Spayed Female,365,Pointer Mix,Pointer Mix,White/Black,Return_to_owner/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Return_to_owner/
Cat,Intact Female,28,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,730,Yorkshire Terrier,Miniature Poodle,Tan/Silver,Adoption/
Cat,Intact Male,300,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Dog,Spayed Female,1460,German Shepherd Mix,German Shepherd Mix,White,Transfer/Partner
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Spayed Female,2190,Catahoula,Labrador Retriever,White/Tan,Transfer/Partner
Dog,Spayed Female,270,Miniature Poodle Mix,Miniature Poodle Mix,Black/White,Adoption/
Dog,Spayed Female,1095,Jack Russell Terrier,Pit Bull,Red,Adoption/
Cat,Spayed Female,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Adoption/
Dog,Spayed Female,300,Queensland Heeler,Shetland Sheepdog,Red Tick/Black,Adoption/
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Cream Tabby,Transfer/Partner
Dog,Neutered Male,365,Catahoula Mix,Catahoula Mix,Blue Merle,Adoption/
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Dog,Neutered Male,90,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Adoption/Foster
Dog,Intact Male,2190,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate/Tan,Return_to_owner/
Cat,Unknown,365,Domestic Longhair Mix,Domestic Longhair Mix,Black,Transfer/SCRP
Dog,Neutered Male,730,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Tan/White,Return_to_owner/
Dog,Spayed Female,1825,Dachshund Longhair Mix,Dachshund Longhair Mix,Tan/White,Adoption/
Cat,Neutered Male,4380,Domestic Longhair Mix,Domestic Longhair Mix,Orange Tabby/White,Euthanasia/Suffering
Dog,Spayed Female,730,German Shepherd Mix,German Shepherd Mix,Sable,Adoption/
Dog,Neutered Male,2190,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Dog,Spayed Female,240,Doberman Pinsch Mix,Doberman Pinsch Mix,Tricolor,Return_to_owner/
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Intact Female,5475,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Intact Female,21,Pointer Mix,Pointer Mix,Chocolate/White,Transfer/Partner
Dog,Neutered Male,150,Dachshund,Jack Russell Terrier,White/Brown,Adoption/
Dog,Neutered Male,730,Miniature Poodle,Miniature Schnauzer,Black/White,Adoption/
Dog,Spayed Female,730,Whippet Mix,Whippet Mix,Brown Brindle/White,Adoption/Foster
Dog,Intact Male,730,Australian Shepherd Mix,Australian Shepherd Mix,Brown Merle/White,Return_to_owner/
Dog,Spayed Female,730,Labrador Retriever Mix,Labrador Retriever Mix,Tan/White,Adoption/
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/Partner
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,Brown Tiger/White,Transfer/Partner
Cat,Intact Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Cat,Intact Male,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,1460,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Brown,Transfer/Partner
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,365,Rat Terrier Mix,Rat Terrier Mix,White/Black,Transfer/Partner
Dog,Spayed Female,60,English Pointer Mix,English Pointer Mix,Brown/White,Adoption/Foster
Dog,Spayed Female,365,Miniature Schnauzer,Yorkshire Terrier,Black/White,Adoption/
Dog,Spayed Female,1095,Cairn Terrier Mix,Cairn Terrier Mix,Buff,Adoption/
Dog,Neutered Male,3285,Labrador Retriever,Pit Bull,Black,Euthanasia/Aggressive
Cat,Spayed Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Return_to_owner/
Dog,Spayed Female,1825,Great Dane,Great Dane,Black/White,Transfer/Partner
Dog,Intact Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Return_to_owner/
Dog,Neutered Male,730,Chesa Bay Retr,Chesa Bay Retr,Brown,Return_to_owner/
Dog,Neutered Male,2555,German Shepherd,German Shepherd,Brown/Black,Return_to_owner/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Cat,Spayed Female,2190,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/Foster
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/Black,Return_to_owner/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/
Dog,Spayed Female,2190,Plott Hound Mix,Plott Hound Mix,Brown Brindle,Return_to_owner/
Cat,Intact Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/Black,Adoption/
Cat,Neutered Male,2555,Siamese Mix,Siamese Mix,Flame Point,Adoption/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Neutered Male,1095,Chow Chow Mix,Chow Chow Mix,Red,Adoption/
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Dog,Spayed Female,2555,English Pointer,English Pointer,Liver/White,Adoption/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Blue Tabby,Euthanasia/Suffering
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Brown/White,Return_to_owner/
Dog,Intact Female,150,Boxer Mix,Boxer Mix,Black/White,Return_to_owner/
Dog,Neutered Male,1460,Basset Hound,Labrador Retriever,Black/White,Transfer/Partner
Dog,Neutered Male,730,Labrador Retriever Mix,Labrador Retriever Mix,Buff,Return_to_owner/
Dog,Spayed Female,2555,Airedale Terrier Mix,Airedale Terrier Mix,Tricolor,Transfer/Partner
Dog,Neutered Male,365,Labrador Retriever,Chow Chow,Brown,Adoption/
Cat,Neutered Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Dog,Neutered Male,30,Beagle,German Shepherd,Black/Brown,Adoption/
Cat,Neutered Male,60,Manx Mix,Manx Mix,White/Black,Adoption/
Cat,Intact Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/SCRP
Dog,Spayed Female,1460,Chihuahua Shorthair,Rat Terrier,Tan/White,Transfer/Partner
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,Black/White,Adoption/
Dog,Spayed Female,730,Flat Coat Retriever Mix,Flat Coat Retriever Mix,Black/White,Adoption/
Dog,Spayed Female,3650,Cocker Spaniel,Cocker Spaniel,Buff,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,3650,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Cat,Spayed Female,730,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby/White,Adoption/Foster
Dog,Spayed Female,2555,Rat Terrier Mix,Rat Terrier Mix,White/Black,Return_to_owner/
Dog,Neutered Male,365,Border Terrier,Chihuahua Shorthair,Tan/Black,Adoption/
Dog,Neutered Male,1825,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Transfer/Partner
Dog,Spayed Female,2190,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Gray,Return_to_owner/
Cat,Unknown,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,2555,Pit Bull Mix,Pit Bull Mix,Tan/White,others
Dog,Neutered Male,365,Chihuahua Longhair Mix,Chihuahua Longhair Mix,Black,Adoption/
Dog,Neutered Male,365,Jack Russell Terrier,Dachshund,White/Brown,Adoption/
Cat,Intact Female,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Dog,Neutered Male,1825,German Shepherd,German Shepherd,Black/Brown,Return_to_owner/
Dog,Spayed Female,730,Rottweiler Mix,Rottweiler Mix,Black/Tan,Return_to_owner/
Dog,Neutered Male,300,Siberian Husky Mix,Siberian Husky Mix,White/Cream,Adoption/
