a_0,a_1,a_2,class
AE,P,IH,T
R,DH,AE,N
G,AH,V,ER
M,Z,CH,IY
AH,T,AH,L
UW,T,IY,Z
IY,N,K,AH
IH,T,S,S
Z,TH,R,IY
IH,NG,AH,N
HH,AY,L,EH
AH,SH,AH,N
S,AH,Z,IH
UW,T,EH,K
T,UW,DH,AH
S,V,EH,R
N,S,AH,L
T,UW,AH,T
L,AE,N,IH
IH,L,Y,AH
DH,AH,F,ER
IY,Z,AH,N
D,ER,Z,AH
M,AO,R,S
AH,P,AE,S
L,P,R,AH
AH,G,R,IY
UW,S,AE,T
K,T,P,R
AE,Z,B,IH
L,B,IY,R
Y,IH,R,IH
Z,EH,N,T
N,L,AY,K
D,DH,EH,N
EH,R,AH,T
S,P,EH,K
AO,R,DH,AH
T,UW,IH,N
IH,T,S,T
AH,V,DH,AH
Y,UW,DH,AH
AH,N,Y,EH
P,R,OW,D
IH,NG,F,EH
P,L,IY,T
D,IH,N,T
AH,V,EH,N
N,IH,N,K
K,W,AO,R
D,ER,AH,L
DH,AH,IH,K
EH,S,T,IH
D,IH,T,IH
T,UW,B,IY
ER,L,IY,ER
L,CH,EY,N
K,W,AY,ER
L,AE,N,T
IH,T,S,D
DH,AH,R,IH
V,R,IY,S
K,AH,N,S
R,AH,D,AH
SH,AH,N,Z
D,AH,S,T
IY,L,AE,S
AH,V,F,R
R,IY,S,ER
N,S,EY,IH
N,IY,EH,S
AH,JH,ER,Z
B,AH,T,R
Y,UH,R,AH
D,DH,AH,EH
D,IH,NG,AH
Z,K,AH,S
T,R,AH,D
EH,K,S,AH
EH,V,AH,D
R,AH,N,D
L,AH,N,D
G,R,IY,D
UW,T,ER,Z
AA,N,DH,AH
R,EY,T,AH
UH,M,AH,N
L,IY,K,AH
T,R,AH,S
AA,B,L,AH
AH,N,SH,EH
N,D,Z,IH
T,UW,SH,EH
S,B,AO,R
M,AH,N,T
AH,K,AA,N
W,IH,L,L
V,IY,HH,IH
N,JH,AH,N
Z,HH,AE,D
B,AE,G,Z
P,R,AY,S
S,IH,V,T
AH,V,D,IH
S,T,IH,D
P,AH,N,IY
N,W,AH,N
T,DH,AE,T
R,OW,K,ER
R,UW,M,EH
W,AO,N,T
S,IH,N,AH
NG,IH,T,S
N,D,ER,S
EY,M,AA,N
R,UW,P,AH
R,OW,K,ER
R,AA,B,L
DH,M,EH,N
N,IH,K,AH
T,S,AE,T
AH,L,AE,S
AE,D,HH,IY
DH,AH,B,IH
AA,N,AE,N
R,AE,N,S
HH,OW,L,D
R,JH,AH,S
AO,R,DH,AH
T,N,ER,Z
UW,R,EY,Z
N,T,UW,K
T,W,IH,L
T,ER,DH,AH
T,ER,W,IH
L,Z,W,IH
ER,IH,T,S
AH,N,T,IH
ER,R,IH,N
B,R,OW,K
F,L,AE,T
R,W,AA,Z
AH,SH,AH,N
V,AH,T,AH
EH,P,SH,AH
T,R,UW,L
M,EH,N,T
R,AA,B,L
AE,P,L,AH
CH,ER,IH,N
L,Y,AH,N
IY,P,AO,R
R,B,IH,L
R,UW,AH,T
AW,ER,Z,AH
NG,K,W,AH
EH,P,Y,AH
T,AH,D,IH
IH,SH,AH,N
T,UW,DH,AH
UW,D,ER,EH
B,IY,AH,L
R,IY,D,AH
AH,P,R,EH
EY,EH,S,N
AH,V,AH,R
AH,N,V,ER
K,L,IH,N
IY,R,AH,K
AH,L,B,IH
DH,AH,T,R
P,OW,K,S
D,CH,EH,K
T,L,AE,N
AH,T,S,T
N,EH,N,T
V,IH,N,T
T,UW,F,AH
P,R,AY,S
T,R,IY,Z
AH,V,D,IH
D,ER,D,AH
ER,F,R,AH
OW,T,AH,L
V,Y,UW,D
S,M,AH,N
AH,N,D,IH
T,UW,EH,N
SH,IH,P,IH
Y,IH,R,Z
N,JH,S,EH
T,R,AE,K
IH,N,T,ER
IH,L,D,IH
T,IH,D,R
D,IH,K,T
R,AH,V,S
P,AE,S,AH
K,IH,K,S
W,AH,N,IH
S,T,R,IY
K,AA,F,IY
L,AY,DH,AH
F,EY,L,D
B,AE,G,Z
AH,M,AY,Z
L,AE,F,T
T,ER,N,T
K,W,OW,T
K,AA,S,T
M,AE,N,D
S,T,ER,L
S,T,AA,R
T,IH,NG,S
IH,L,AH,T
IH,L,B,IY
T,R,IY,Z
ER,M,Z,AH
P,EH,SH,L
AH,T,AE,K
Z,AH,F,ER
IH,N,D,IH
JH,EH,K,T
IY,EY,SH,AH
IY,EY,T,IH
T,S,IH,T
AO,S,IH,N
IY,Z,AW,T
D,IH,D,N
AE,N,SH,AH
AH,V,DH,AH
HH,AA,R,D
D,F,UH,L
N,IH,Z,IH
L,EH,K,S
N,S,T,AH
N,IH,K,S
AO,R,AE,N
HH,AY,ER,N
N,S,T,N
T,IH,NG,K
IH,R,ER,L
ER,T,AH,D
OW,P,R,IH
ER,AH,N,T
S,AY,N,D
AH,L,ER,AH
UW,CH,EY,N
IY,AE,T,N
T,K,AO,L
IH,T,S,K
K,W,OW,T
R,T,F,R
AH,M,P,R
AE,T,S,EH
IH,D,R,AH
DH,AH,AH,L
DH,AH,W,IY
IH,F,AO,R
IY,Z,R,IY
T,W,IY,K
EH,N,S,T
P,OW,K,S
V,AO,L,T
AE,D,AH,D
V,IH,N,T
Z,T,UW,D
K,AH,N,AH
AE,D,AO,L
F,L,AH,K
M,AH,N,T
N,D,ER,IH
K,AA,N,AH
F,ER,DH,ER
M,AH,L,IY
P,R,AY,S
L,B,IY,IH
M,P,AH,N
AE,N,D,L
N,T,M,AH
T,S,EH,D
IH,N,F,AH
EH,N,DH,AH
AH,K,AE,L
AH,N,EY,T
S,AH,B,S
P,AH,B,L
AH,B,L,IH
ER,DH,AE,N
DH,AH,IH,N
D,IH,V,EH
IY,W,UH,D
M,AE,G,AH
AH,N,AE,N
IY,P,ER,T
AH,Z,IH,N
Z,AE,N,T
N,CH,ER,T
AO,R,T,ER
T,S,AE,T
S,B,AO,R
R,JH,AH,N
IY,S,EH,D
L,K,AA,S
L,AH,N,D
P,AH,N,IY
D,B,IY,AH
T,UW,IH,N
T,UW,S,EH
N,TH,S,K
Z,AE,F,T
IH,N,S,AH
S,IH,K,S
V,EH,S,T
IH,S,K,AH
R,IH,F,L
IH,K,T,IH
N,D,IH,K
TH,IY,S,T
AH,D,EY,AH
IH,F,AY,N
D,T,UW,EH
Z,N,AH,S
AH,M,P,L
AH,V,S,IH
K,AW,N,S
AH,T,EH,L
N,DH,EH,R
Y,UW,N,AH
V,AY,D,AH
AA,R,T,T
IY,S,AH,N
R,IH,Z,AH
L,IY,V,IH
AY,V,Y,IH
S,OW,S,EH
ER,R,IH,Z
V,IY,EH,S
EH,K,T,S
IY,S,EH,D
AH,G,R,IY
IH,NG,AH,N
NG,DH,AH,N
K,F,AO,R
P,EH,K,T
Z,AY,N,AH
K,W,AO,R
AH,L,F,IH
JH,IH,S,T
OW,S,T,AH
IY,ER,EY,T
AH,B,AH,L
UW,HH,AY,ER
IY,D,IY,AH
B,AY,DH,AH
W,AO,R,T
D,L,AY,K
AH,L,IH,S
UW,IH,Z,R
NG,EH,K,S
D,AH,M,EH
AE,V,AH,N
D,IH,K,T
OW,N,L,IY
IH,NG,IH,N
ER,N,AA,T
S,IY,D,Z
CH,ER,ER,Z
N,AE,N,S
K,W,AH,T
P,EH,N,D
G,AA,R,D
AH,B,S,T
S,IH,S,T
DH,AH,N,EH
AH,SH,IY,N
Z,D,IH,Z
AH,N,M,EH
L,ER,B,AH
EY,M,P,IH
M,AH,N,T
T,L,AO,S
N,IY,S,EH
P,AO,R,T
V,IY,EH,S
L,T,IY,S
IH,F,EH,K
EH,D,D,EH
IH,N,S,T
IH,N,DH,EH
S,B,AE,L
DH,AH,OW,L
IH,M,EY,N
AH,N,IY,EH
DH,S,P,R
R,AA,P,EH
D,AA,N,T
D,EH,N,T
HH,OW,P,IH
IH,S,T,S
EH,D,W,AH
Y,UW,N,AH
UW,S,EH,T
AW,K,AH,L
K,T,R,IY
R,D,D,IH
ER,V,AH,S
Y,AH,N,AH
ER,EY,T,IH
F,EH,K,T
AH,N,UW,Z
IH,T,AH,N
AH,S,EH,S
EY,P,F,R
L,B,IY,D
Z,D,R,IY
G,OW,S,AH
R,HH,IH,Z
T,F,OW,L
ER,AH,T,L
UW,S,T,S
IH,L,Y,AH
L,UW,D,Z
P,R,AY,S
F,ER,S,T
V,IY,AH,S
D,EY,IH,T
TH,ER,AY,Z
V,AH,G,R
T,AH,N,S
T,S,B,R
AH,N,T,IH
S,P,EH,K
D,AH,S,T
L,OY,L,S
ER,T,AH,D
AH,V,DH,AH
SH,AH,N,IH
IH,T,S,T
R,K,AH,T
IY,AH,N,S
AO,R,T,S
UW,M,Y,AH
UW,S,T,IH
Y,UW,M,Z
OW,Z,K,R
Z,AH,N,D
IY,D,IH,D
D,AY,V,ER
T,K,AH,N
AH,N,D,AH
EH,S,AH,N
T,AH,L,T
SH,AH,N,IH
N,AH,N,D
ER,ZH,AH,N
T,EY,L,Z
M,IH,N,AH
IH,Z,AO,L
T,UW,R,AH
IH,D,IH,N
T,F,AO,R
AH,L,AA,R
D,EH,S,T
AE,N,AA,T
NG,AH,P,R
S,OW,T,IH
S,T,UW,R
AH,V,T,ER
Z,AH,N,D
S,IH,S,T
P,AH,N,IY
ER,AO,L,K
P,OW,Z,D
AY,L,AH,D
K,AA,N,T
Z,T,UW,IH
B,IH,N,R
S,IH,D,IY
D,AH,K,T
IY,AH,S,AH
AE,D,W,AH
AO,R,S,AH
S,T,UW,T
AE,T,S,T
IY,Z,AH,K
R,EH,Z,AH
Z,B,IH,K
S,IH,S,T
UW,AH,N,S
R,OW,TH,R
T,R,IH,S
IH,S,K,S
R,AH,S,T
IH,SH,AH,N
N,T,R,AH
AW,EH,V,ER
AE,SH,AH,N
IH,Z,AH,L
V,AO,F,AH
M,AH,N,T
IH,D,EH,N
IY,L,AA,R
AH,L,P,L
AH,N,D,R
EH,K,SH,AH
IY,Z,IH,N
L,T,UW,K
AH,D,IH,S
DH,AH,G,AH
K,AW,N,T
IH,S,IH,T
AH,F,R,IY
D,IH,NG,T
V,D,IH,N
AE,D,AH,R
AA,R,T,AH
D,AH,Y,IH
T,AH,D,D
OW,T,K,AH
R,T,UW,D
M,P,AO,R
S,L,AO,S
UW,P,R,IY
T,N,AY,N
ER,V,EH,N
D,AH,K,T
S,EH,D,IH
AW,N,S,T
AH,V,DH,AH
N,AH,V,AH
S,EH,T,S
L,D,DH,AH
AE,Z,R,AH
IH,N,S,T
IH,N,DH,AH
M,AH,N,T
N,AA,T,T
ER,W,IH,L
K,AA,N,S
EH,K,S,R
AH,Y,IH,R
AH,G,UH,D
AY,S,AH,Z
D,AH,B,AH
F,IY,L,D
EH,R,AH,N
IY,EH,R,IY
AH,L,Z,S
D,K,AH,N
S,IH,D,ER
R,G,AH,N
Z,AO,L,S
T,T,R,EH
P,AH,Z,IH
AH,N,D,ER
T,IH,V,AH
AE,F,T,ER
P,AO,R,T
Z,R,IH,L
EH,R,IY,L
HH,AE,V,AH
L,K,AW,N
Y,IH,R,EH
Z,AH,V,AH
AH,IH,K,S
T,IH,V,AH
D,IH,NG,L
AH,M,AA,R
Y,IH,R,AH
EH,N,D,Z
V,IH,D,EH
B,IH,K,AH
IY,F,AO,R
Z,DH,AE,T
L,AE,N,T
L,IY,T,AH
D,T,AE,K
R,M,AA,R
S,EH,P,T
R,EH,Z,AH
IH,SH,UW,Z
AY,S,AH,Z
R,P,L,IY
R,EH,Z,ER
AH,S,AH,T
R,IY,S,AH
AH,N,D,IH
F,AY,L,D
IY,K,AH,N
UW,DH,AH,S
L,W,UH,D
AH,JH,ER,Z
N,SH,AH,L
SH,AH,N,Z
IY,S,AH,N
R,K,AH,T
IY,Z,AH,N
R,IY,D,T
T,IY,B,IH
M,AA,R,K
V,S,IH,K
AA,N,D,Z
T,R,EY,D
Z,AH,N,D
T,T,UW,S
L,D,IH,N
S,EH,S,T
AH,V,EH,N
T,UW,S,EH
S,AH,Z,AH
AH,N,T,S
AH,L,AE,D
G,Z,EH,K
T,S,P,R
EH,JH,AH,S
S,EH,D,IH
AH,S,T,IH
N,AH,N,D
Z,N,AA,N
AH,M,AE,T
S,P,EH,K
V,ER,AO,L
B,AE,R,AH
AA,N,S,T
L,S,OW,S
S,AA,L,AH
AH,P,R,IY
S,T,EY,T
D,EH,N,T
AH,IH,N,S
AH,V,W,EH
N,K,R,IY
AH,N,S,K
Z,ER,IY,K
D,AH,N,T
JH,M,AH,N
Z,EH,S,T
AH,M,AA,N
NG,AE,K,T
AO,R,DH,AH
EH,JH,UW,L
AH,D,EY,S
SH,AH,T,D
AE,NG,K,S
DH,EY,IH,K
T,AH,N,T
AY,Z,B,AH
M,IH,S,T
P,ER,S,IH
T,EH,N,S
OW,N,L,IY
AO,R,M,AH
ER,D,DH,AH
M,W,UH,D
AH,S,Y,IH
T,UW,IH,K
K,R,IY,S
AH,T,OW,T
N,T,W,IH
AY,T,TH,R
AH,N,D,IH
AA,R,OW,IH
AH,P,IH,R
IH,Z,HH,EH
B,AA,N,D
K,AO,Z,AH
D,R,AY,S
EH,T,AH,L
R,Z,AO,R
DH,AH,K,AH
Z,AH,L,T
ER,AH,B,L
R,UW,P,IH
W,AH,T,IY
Z,S,IH,N
JH,ER,SH,IH
AE,NG,K,EH
D,EY,SH,AH
DH,AH,M,AH
AE,L,AH,N
K,T,B,IH
S,AH,G,N
S,T,DH,AH
ER,AW,N,D
IH,L,Y,AH
R,AE,NG,K
AY,Z,IH,N
IH,DH,IH,N
AH,V,AO,L
AH,V,S,AH
Z,ER,V,Z
K,L,IY,T
IH,L,B,IY
IH,SH,UW,IH
N,K,AH,L
N,ER,AH,L
R,AH,D,AH
AH,L,AE,S
S,T,M,AH
P,AA,R,T
EH,N,D,IH
T,OW,T,AH
AO,R,G,IH
SH,AH,N,Z
AE,M,IH,T
R,AY,S,AH
S,OW,L,D
AE,K,S,EH
L,F,F,R
NG,K,SH,AH
D,IH,NG,S
AH,S,F,R
F,EH,R,Z
EH,N,D,ER
D,F,R,IY
EH,T,IH,K
F,IH,SH,AH
IH,M,EY,N
AH,T,W,IH
T,AH,N,Z
T,S,T,R
R,IY,P,ER
L,IY,V,Z
N,T,AH,N
SH,AH,N,IH
B,IH,N,L
R,AH,S,T
IH,N,AH,S
IY,S,T,R
L,IH,M,AH
D,AH,N,D
D,M,OW,S
B,AH,JH,IH
IH,F,EH,K
V,EH,S,T
AA,L,AH,S
AH,N,Z,AH
S,EH,K,T
AH,N,T,IH
S,OW,S,IY
P,L,AE,N
L,AE,N,T
EY,V,DH,AH
UW,R,AH,S
JH,R,IH,Z
N,AW,OW,N
N,Z,S,EH
EH,N,SH,AH
K,P,R,AH
R,W,UW,N
F,EH,N,S
R,AE,N,S
N,D,ER,R
L,UW,D,Z
M,AH,T,L
M,IH,T,IY
D,B,AY,K
Z,AH,N,D
R,IY,AH,K
ZH,AH,N,T
OW,N,W,IH
AA,P,IH,N
ER,F,AO,R
AH,T,DH,AH
N,T,L,IY
T,S,D,ER
AH,S,EY,T
R,IY,DH,AH
IH,N,AH,S
N,M,IH,D
AH,M,AA,D
R,EY,T,S
K,AH,N,T
R,DH,IY,Z
SH,AH,N,AH
IH,Z,AH,L
AH,S,SH,EH
T,CH,AE,N
IH,L,K,AH
V,SH,AO,R
K,HH,OW,L
AH,B,AH,L
AE,Z,DH,AH
AH,M,AA,R
AO,NG,ER,N
T,EY,N,IY
Y,UW,CH,ER
R,EY,K,D
EH,K,Y,AH
IH,N,M,EH
Z,AO,L,S
AA,N,B,IH
S,W,AA,Z
IH,N,DH,AH
T,AH,V,IH
W,IH,DH,AH
P,EH,S,AH
R,D,SH,IH
AA,R,T,AH
EH,R,AH,L
N,DH,AH,K
TH,AH,N,D
EH,R,W,ER
R,AA,F,AH
AE,D,AH,D
L,IY,K,AH
Z,W,IH,L
T,EH,S,S
P,AH,N,IH
OW,Z,D,D
N,AO,M,AH
AH,N,AE,N
T,UW,Y,IY
AH,D,DH,IH
R,T,N,IY
P,AO,R,T
N,F,EH,L
IH,T,EH,R
EY,JH,IH,N
R,IH,G,ER
AW,S,IY,N
L,B,IH,L
D,AH,N,S
T,K,UH,D
AE,N,AH,L
T,ER,L,IY
ER,S,EH,D
D,AH,DH,ER
N,Z,D,IH
V,M,AE,N
T,AH,L,IH
AH,V,S,T
T,ER,AH,N
AA,Z,IH,T
D,HH,AE,Z
OY,N,T,S
W,ER,L,D
AO,R,DH,AH
UW,DH,AH,R
N,IY,D,T
R,AH,N,IH
ER,N,AW,IH
DH,IY,Z,EH
UW,M,Y,AH
M,EY,K,S
Y,IH,R,N
K,AO,F,T
AY,SH,EH,R
F,AO,R,AH
K,W,AO,R
L,Z,IH,N
R,AO,NG,S
AY,ER,D,T
AY,L,D,AH
T,S,P,EH
N,D,S,EH
IH,P,S,EH
T,R,IY,EH
AE,T,IH,T
IY,T,EY,L
Y,IH,R,AH
T,UW,DH,AH
IY,P,AO,R
N,AH,L,AH
T,AE,K,S
AE,K,CH,AH
IH,G,Z,EH
UW,IH,N,K
S,EH,D,AH
AA,R,JH,AH
IY,D,IY,AH
AO,F,IH,S
UW,IH,N,K
S,IH,R,IY
P,SH,AH,N
S,EH,D,IH
AE,D,AH,D
P,IH,NG,K
P,L,AH,S
AH,N,IY,S
L,P,AA,L
AE,K,CH,ER
R,S,EY,L
F,IH,SH,AH
AA,N,F,ER
S,IY,Z,AH
AA,Z,T,R
K,AH,D,AH
V,IH,R,L
UW,V,OW,T
AH,N,G,R
ER,SH,EH,R
R,AE,K,T
EH,SH,AH,N
AH,M,P,AH
R,HH,OW,L
Z,AH,V,ER
DH,AE,T,S
AO,R,DH,AH
V,AH,T,IH
S,AH,F,ER
S,T,R,AH
M,AH,N,S
AA,Z,IH,T
V,Y,IH,R
T,S,HH,IY
AH,F,AO,R
S,T,S,IH
AH,Z,R,IY
AE,N,S,T
S,OW,V,ER
N,D,AH,D
AH,M,P,EH
K,AH,N,T
B,Y,UW,T
Y,IH,R,EH
T,UW,R,IH
OW,N,L,IY
L,Y,AH,N
D,AH,S,T
F,AH,N,D
Z,Y,UW,Z
IH,S,P,L
D,M,IH,N
P,L,IY,T
IY,T,AH,D
K,EH,S,L
Z,AH,N,D
N,W,IH,L
EH,D,IH,T
AH,L,P,R
D,EY,T,AH
EY,AH,N,D
T,OW,T,AH
K,AA,F,IY
Z,R,AH,S
IH,L,L,EH
M,P,AH,N
S,M,AO,L
N,D,DH,AH
P,L,OY,IY
AH,L,P,R
AY,T,ER,Z
P,AY,R,D
V,DH,AH,K
AH,M,ER,Z
IH,CH,IH,N
T,R,AH,D
IH,DH,G,AH
S,AO,R,S
G,AH,V,ER
W,UH,D,R
AY,V,Y,IH
Z,S,EH,D
V,L,IY,AH
AH,G,R,IY
S,S,EH,D
AH,DH,ER,D
S,T,R,AH
M,AH,N,D
F,F,AA,R
EH,N,S,T
V,AH,L,AH
T,AE,K,S
S,P,AO,R
D,IY,L,ER
AO,R,D,IH
OW,AH,N,D
S,T,W,IH
AH,S,AA,L
EY,D,ER,Z
S,EY,L,Z
S,IH,N,T
S,M,AH,N
F,T,ER,AH
AO,L,S,EH
AW,N,IH,N
ER,AH,T,IH
AY,N,D,T
S,T,ER,D
D,L,AY,N
F,AH,S,AH
T,EH,K,N
K,T,ER,Z
IH,NG,W,IH
F,AY,L,IY
AA,R,K,AH
DH,EY,IH,K
D,EH,N,T
AH,T,F,ER
N,T,S,IH
T,AE,B,L
N,T,UW,IH
AO,R,AH,N
R,AH,N,R
AH,P,AA,L
T,M,AH,N
AH,SH,EH,R
V,V,AE,L
T,F,AO,R
R,Z,F,R
UW,P,S,EH
AH,B,IH,L
S,P,EH,K
D,ER,Z,IH
V,AE,N,S
UW,K,UH,D
S,AH,B,S
IY,N,Y,ER
N,AH,N,R
T,AA,N,AH
M,AA,L,AH
AW,N,S,T
N,CH,ER,Z
AH,G,UH,D
IH,K,S,T
AE,NG,K,IH
ER,F,R,AH
K,UH,D,IH
L,P,R,AH
T,R,AH,S
IY,Z,IH,N
AO,R,T,ER
S,T,EY,K
D,EY,Z,D
AH,L,AE,K
AW,N,AH,N
IY,T,IY,L
AH,L,T,IH
T,AA,P,IH
D,B,IY,L
T,AH,N,D
IH,N,S,EH
R,EH,K,AH
IH,NG,S,AH
AO,R,T,EH
K,Y,UH,R
Z,T,UW,D
P,AO,R,T
L,DH,AE,T
R,AH,V,IH
T,DH,IH,S
T,IY,Z,K
T,IH,R,IY
L,IY,G,R
AH,N,Z,T
ER,S,T,K
CH,IH,K,AH
ER,AH,L,T
P,EY,P,ER
S,EH,D,IH
M,D,AH,N
EH,S,T,AH
N,IY,S,EH
N,L,IY,T
G,OW,SH,IY
N,D,AH,N
EH,L,AE,Z
AE,T,AH,S
IY,S,T,R
Z,AH,L,Z
L,EH,K,S
AH,F,OW,N
S,T,UW,D
DH,AH,K,AH
DH,EY,B,IH
IH,T,S,R
P,AH,S,IH
ER,CH,AH,S
AO,R,K,AH
AE,T,R,IH
SH,AH,L,S
N,AE,N,S
P,L,AH,S
V,IY,EH,S
V,DH,IY,Z
IH,L,B,IY
T,AH,B,IH
R,UW,V,D
ER,EY,SH,AH
T,S,B,IH
S,K,T,N
Z,R,IY,S
OW,IH,NG,AH
S,T,R,IY
EH,D,M,EH
K,R,UW,Z
IH,N,F,R
SH,AH,N,Z
AH,M,P,AH
SH,AH,N,S
T,IY,F,R
M,AH,N,IH
D,B,IY,AH
N,EY,T,IH
F,EH,K,T
F,R,EY,L
NG,K,ER,Z
D,EH,T,K
D,Z,AA,R
AH,M,AW,N
AH,S,IH,K
D,DH,AH,R
T,IH,N,K
AH,N,T,AH
DH,AH,IH,K
IH,T,W,IY
R,D,Y,EH
SH,AH,N,AH
D,B,IY,IH
P,AH,L,IY
JH,M,AH,N
AH,Z,DH,AH
ER,AY,Z,D
P,AO,R,T
T,IH,NG,AH
V,P,R,EH
L,AH,V,IH
S,T,S,S
IH,NG,P,R
T,AH,Z,AH
N,TH,IH,Z
D,AE,D,IH
AH,N,T,IH
ER,D,K,AH
T,R,IY,Z
AH,N,D,R
M,EH,S,AH
EH,R,AO,R
R,T,AY,T
S,AO,R,S
EH,D,DH,IY
IY,K,EH,N
Z,D,K,AH
HH,AE,D,S
AE,K,S,K
T,EY,K,S
AE,N,G,EH
IY,AH,N,D
IY,EH,S,T
D,AH,N,T
Z,S,EH,D
EH,R,W,ER
AE,N,EH,K
AH,T,AE,N
F,AO,R,AH
AH,L,OY,L
IH,R,M,AH
S,IH,D,ER
ZH,AH,N,Z
T,P,R,AH
T,M,AH,N
AH,B,M,IH
AH,N,T,AH
B,IH,N,K
N,D,DH,AH
EY,T,IH,D
AH,V,Y,EH
N,SH,AH,L
AH,S,DH,AH
F,AO,L,AH
HH,AW,S,S
UW,DH,EH,R
M,AH,N,T
L,OW,K,AH
P,T,S,T
L,OW,ER,IH
L,Y,IH,R
IY,S,EH,D
IH,SH,S,EH
SH,S,EH,N
N,S,T,IH
AA,N,D,Z
NG,K,AH,N
T,ER,V,EH
IY,M,AA,R
P,EH,SH,AH
R,K,AH,T
M,EH,TH,AH
P,EH,SH,AH
SH,AH,L,D
AH,N,S,IY
D,AH,S,T
OW,W,IH,L
G,Y,ER,Z
R,EH,D,AH
T,DH,AE,T
AH,M,IH,T
IH,L,Y,AH
T,S,AH,N
T,IH,N,IH
F,AH,S,AH
R,AH,M,N
IH,M,P,L
L,OY,M,AH
F,EH,K,T
N,D,SH,EH
F,L,ER,IY
K,AE,N,S
IH,S,K,R
DH,AH,AE,D
JH,AY,AH,N
Z,AH,L,T
IH,T,S,AH
IH,S,Y,IH
F,EH,K,T
AH,T,AH,N
B,IY,IH,K
P,AO,R,T
DH,AH,K,AH
SH,AH,N,AH
IH,S,K,AH
K,S,M,AH
S,T,OW,T
IY,M,AH,N
L,AO,S,AH
L,AY,Z,IH
AE,N,S,AH
S,ER,AH,N
HH,EH,L,D
EH,D,TH,R
AA,P,S,ER
IY,AO,F,ER
G,AH,V,ER
W,IH,L,N
IH,N,UW,D
AH,S,AH,T
AH,M,P,AH
N,AW,N,S
IY,AA,N,D
N,D,K,AH
S,OW,S,AH
AH,N,V,ER
