a_0,a_1,a_2,class
N,IY,TH,R
N,EH,T,IH
AO,R,T,ER
Z,K,AH,M
V,R,AH,K
IH,N,D,EH
IH,SH,AH,N
SH,EH,R,Z
R,T,ER,AH
F,AH,N,D
G,R,EY,D
R,AH,AO,R
UW,AH,P,R
L,AO,R,D
N,Y,ER,D
D,D,OW,N
JH,D,G,R
D,L,EY,T
D,ER,D,Z
T,K,AH,M
R,EH,S,T
W,AA,Z,P
TH,HH,AE,Z
T,W,AO,N
EH,N,D,AH
L,AE,Z,D
S,L,IY,R
S,AH,N,AH
UW,P,R,EH
N,TH,S,M
R,AY,M,EH
R,K,AH,K
EH,D,IH,T
S,CH,AA,R
AO,R,W,ER
SH,AH,N,AH
EH,N,D,ER
V,IY,EH,S
R,K,AH,T
F,AO,R,EH
S,EH,D,IH
AE,L,AH,N
EH,D,DH,AH
P,R,EH,Z
IH,DH,AE,N
W,IH,M,AH
T,F,AO,R
UW,IH,M,P
EH,N,D,AH
AO,R,DH,AH
B,EH,T,ER
T,AE,N,IH
AH,M,P,AH
F,AO,R,D
F,R,AH,M
IH,R,Z,AH
UW,S,AH,P
B,AH,L,S
R,OW,G,R
M,F,AO,R
EH,N,IY,EH
K,CH,ER,IH
N,D,AH,L
D,HH,IY,P
D,AH,V,IH
B,IY,AH,K
V,ER,M,AH
W,AO,R,D
K,T,F,R
L,AA,P,IY
UW,F,AO,R
ER,JH,ER,AH
ER,AH,JH,D
W,EH,S,T
S,ER,V,IH
AH,V,AY,D
V,IY,AH,S
T,UW,EH,K
Z,IH,SH,AH
AA,N,AH,R
AE,SH,AH,N
S,OW,EH,S
R,D,IH,M
S,AH,M,T
M,AA,N,AH
T,Y,IH,R
Y,UW,CH,ER
L,IY,D,IH
UW,N,AH,T
AE,S,K,AH
CH,HH,AE,Z
NG,AH,S,P
V,ER,M,AH
AH,SH,EH,R
N,AW,T,S
Y,UH,R,AH
N,SH,AH,L
AE,S,T,AH
R,EY,D,IH
IH,S,Y,IH
R,OW,L,D
EH,K,T,AH
Z,AH,N,D
S,D,IH,P
S,S,P,R
AH,N,T,IY
IH,L,Y,AH
Z,W,IH,L
ER,S,ER,P
AH,P,AY,D
S,M,AH,N
T,S,P,AH
AH,JH,IH,T
IH,T,AH,N
N,EH,K,S
D,AH,S,T
IH,T,S,AH
R,IY,W,IH
D,DH,AH,IH
AY,N,D,IH
Z,IH,N,S
OW,T,AH,Z
K,Y,AH,L
P,AH,L,IH
N,AH,N,T
R,UW,V,AH
T,ER,Y,EH
L,IY,R,IY
T,IH,D,AH
EH,N,T,S
R,IH,NG,IH
IH,N,V,EH
AE,Z,B,IH
T,S,T,ER
N,IH,M,P
M,AH,N,IY
F,AH,S,AH
EH,D,IH,N
AH,T,AH,N
L,Y,AH,N
K,ER,AH,N
K,T,IH,D
D,AH,K,T
N,Y,UW,D
L,AH,T,IY
IH,R,EH,S
N,T,IH,N
DH,ER,D,IH
W,AA,Z,D
JH,IY,P,R
Z,K,ER,AH
P,OY,N,T
AH,M,EH,N
DH,EY,W,IH
ER,D,IH,T
ER,W,ER,K
Z,AH,N,D
R,AH,T,IY
B,AE,NG,K
AE,T,AH,S
Z,DH,OW,Z
CH,T,AH,P
L,ER,B,AH
UW,T,EY,K
S,AH,B,D
T,ER,N,IH
IH,M,P,R
R,UW,V,D
AH,Z,IH,N
G,R,UW,P
T,R,AE,N
V,R,AH,L
K,AH,N,T
B,IH,Z,N
M,AH,L,IY
AO,R,AH,T
D,T,AH,D
F,AA,R,M
AH,S,M,AH
D,IH,F,AH
AH,S,EH,S
AH,S,EH,R
IH,M,P,EH
OW,N,ER,Z
EH,Z,AH,N
L,K,Y,AH
ER,K,S,K
AH,JH,M,AH
S,K,AH,M
T,B,IY,IH
ER,K,ER,Z
ER,AH,N,T
V,IY,EH,S
P,R,EH,S
L,Y,AH,N
AH,B,AW,T
D,AO,R,D
D,HH,AY,ER
K,N,IH,K
IH,Z,AH,L
AH,G,R,IY
Z,F,AO,R
AH,F,IH,T
L,UW,D,IH
P,AH,S,AH
S,AH,Z,IH
F,AY,L,D
AH,M,P,AH
EY,T,IH,Z
B,AH,L,IH
UW,V,AH,L
S,Y,IH,R
AW,N,IH,N
S,M,AO,R
AH,N,S,EH
AH,N,S,T
N,IH,Z,IH
IH,F,DH,AH
D,M,AE,N
P,R,IY,M
K,AO,Z,AH
SH,F,AO,R
IY,AH,T,L
L,D,ER,Z
S,P,AO,R
AH,CH,ER,Z
AY,L,DH,AH
B,AO,R,D
T,UW,B,IH
S,IH,N,S
R,JH,OY,N
UW,D,Z,P
IY,R,IH,Z
P,R,EH,Z
N,EY,SH,AH
R,EH,T,AH
N,EH,K,S
IH,N,D,AH
IH,N,D,AH
Z,N,OW,N
AH,N,D,Z
AH,T,S,K
K,L,UW,D
R,AA,D,AH
R,T,IY,K
M,AA,R,K
AH,L,S,ER
EY,L,Z,IH
L,Y,AH,N
IY,Z,AA,P
AY,ER,P,L
N,D,P,R
UW,P,L,AH
AH,V,P,R
M,EY,N,Z
AH,P,AH,L
EH,S,S,EH
IH,N,W,ER
K,T,B,IH
D,EY,T,IH
S,N,IH,R
EH,V,AH,N
IH,S,M,AH
B,AH,L,AH
S,T,IH,K
T,AH,V,AH
N,AH,L,IH
Y,IH,R,EH
ER,P,AH,S
W,IH,K,L
T,AE,N,D
G,Y,AH,L
UW,S,EH,L
SH,IH,P,M
IY,EY,T,IH
S,L,AO,S
L,EY,N,Z
DH,AH,D,IH
AH,S,T,S
IY,IH,N,D
AH,N,T,L
DH,AH,F,ER
F,AO,R,K
AH,P,ER,S
AH,D,UW,S
R,EH,N,T
M,AE,N,AH
IH,NG,AH,P
L,UW,D,Z
T,AO,K,S
T,S,AH,N
AH,M,P,AH
B,AO,R,D
D,AH,B,EH
IH,T,AH,K
IH,V,EH,L
T,R,IY,Z
AH,M,P,AH
IY,F,AO,R
T,R,EY,D
L,F,UH,T
K,AA,N,S
T,UW,B,IY
IH,V,AE,L
S,AH,S,R
DH,AH,IH,L
R,IH,L,EH
AH,M,P,AH
AH,V,S,IH
R,IH,N,T
R,AH,V,S
AH,D,AA,N
N,EH,S,IH
M,P,AH,N
R,EH,D,AH
AH,V,W,IH
IY,D,DH,AH
EY,B,IY,AH
IY,M,AH,N
OW,AO,F,ER
R,UW,M,ER
F,AO,R,IH
Z,S,OW,L
IH,D,AH,S
Z,S,UW,N
L,IH,N,K
AH,K,CH,ER
AA,D,AH,K
AE,S,AH,N
AA,Z,B,IY
ER,CH,UW,AH
EH,N,T,AH
IY,S,IY,EH
F,L,OW,AH
R,AY,S,AH
R,EY,T,K
IH,R,R,IH
EH,S,P,R
AH,L,DH,AH
DH,AH,D,IH
R,L,OW,ER
D,ER,Z,AH
V,R,AH,L
AY,S,AH,Z
AA,L,AH,S
AH,N,T,IH
AH,N,TH,S
IH,K,W,IH
N,D,IH,S
AH,V,SH,EH
L,S,AY,D
IH,T,AE,N
K,S,IH,N
EH,K,T,S
EH,S,AH,T
T,UW,S,T
S,T,AH,D
T,UW,AH,P
V,S,IY,T
ER,S,AH,S
D,M,AE,N
AH,M,DH,AH
AH,N,EH,R
K,S,T,R
UW,DH,AH,R
T,R,IY,Z
EH,M,S,EH
B,AO,R,D
T,UW,R,IH
D,F,AO,R
P,D,EY,T
AE,N,CH,AH
ER,DH,AH,K
AH,M,P,AH
D,IH,P,R
ER,AA,P,ER
IH,N,F,ER
SH,AH,N,S
T,IY,Z,IY
AH,Y,IH,R
AH,N,V,ER
AH,L,AH,M
N,SH,EH,R
Z,K,ER,AH
Y,IY,L,D
SH,AO,R,T
D,DH,AH,S
D,IH,N,L
IY,AH,JH,AH
N,M,AE,N
UW,D,EY,Z
UH,R,AH,T
S,R,IY,P
R,EY,T,S
AH,L,M,AH
D,IH,T,S
AH,V,AE,L
T,M,AH,N
W,IY,K,S
IH,T,S,N
AH,N,S,ER
UW,IH,NG,AH
W,IY,AA,R
T,AE,S,EH
EH,N,K,ER
NG,K,S,T
M,K,AW,N
P,R,AH,P
W,ER,AA,N
NG,EH,S,P
IH,Z,UW,M
UW,CH,ER,T
EH,K,AH,N
Z,K,ER,AH
S,IH,NG,EH
AH,N,F,L
V,AH,N,T
N,AH,M,AH
Z,K,AH,N
AH,N,T,S
D,AH,F,AH
F,R,AH,M
L,IY,V,IY
T,AE,Z,AH
R,AY,S,AH
T,R,IH,P
V,S,T,IY
W,EH,L,Z
D,HH,AE,D
IH,K,AH,L
L,M,AA,D
W,IH,N,T
R,IY,W,ER
N,IY,S,EH
V,AH,N,S
IH,D,AE,L
T,AH,N,D
AO,F,ER,IH
R,S,EY,L
N,Z,AH,N
AH,M,P,AH
AH,K,AO,R
IY,AH,N,D
AH,P,R,EH
IH,S,W,IY
N,AH,T,P
IH,N,DH,AH
AH,B,AO,R
D,IH,S,IH
R,AY,S,K
JH,AA,B,Z
T,AH,M,AH
R,UW,V,M
L,OW,N,L
D,IH,T,S
AH,Z,AH,N
ER,AH,T,IH
S,AY,N,AH
ER,M,Z,S
N,AH,S,IH
B,AH,L,T
S,T,R,IH
IH,K,S,K
IH,N,OY,L
NG,AH,N,D
R,G,AH,N
IH,N,AH,K
IH,P,R,IY
P,AO,R,T
AH,M,DH,AH
AH,Y,IH,R
D,EY,SH,AH
N,SH,AH,N
T,UH,R,IH
DH,ER,W,ER
K,AH,M,P
M,P,SH,AH
Z,EY,SH,AH
V,AH,T,IY
IH,L,Y,AH
Z,N,AA,T
V,D,IH,N
AH,N,D,L
R,AY,S,AH
D,UW,AH,L
AH,N,D,IH
AH,N,T,P
P,R,AH,D
B,IY,P,ER
K,AA,M,AH
AH,N,T,R
T,W,IY,N
OW,L,D,Z
IH,N,AH,M
ER,S,T,EH
UW,S,EH,T
D,IH,NG,L
K,L,IY,ER
Z,EH,N,T
T,R,IY,AH
R,IY,M,AH
D,R,EH,P
Z,N,AA,T
AH,M,AA,D
AH,M,DH,AH
N,AH,L,S
W,AH,Z,IH
Z,T,UW,R
G,AH,V,ER
S,EH,D,L
IH,SH,UW,IH
IH,CH,D,R
N,EH,V,ER
AO,R,N,IH
AH,N,D,ER
L,IY,ER,S
IY,AH,S,L
IH,N,IH,T
D,AH,N,L
IH,L,D,Z
OW,K,S,M
EY,L,D,AH
L,K,AH,M
N,JH,AH,Z
UW,IH,M,P
AH,G,R,IY
K,S,AH,N
N,IH,NG,Z
AH,V,R,EH
P,AH,N,IY
Z,AA,R,D
S,T,EH,S
AO,R,DH,AH
IH,Z,IH,M
AA,M,P,L
K,AO,Z,AH
AA,P,SH,AH
AH,N,T,EH
M,IY,D,IY
AO,R,T,AH
D,B,IY,ER
V,IY,EH,S
AE,N,IH,K
L,K,AA,R
Z,IH,N,S
SH,AH,N,T
T,AA,K,T
D,UW,S,T
IY,F,AO,R
IY,W,AA,Z
G,UH,D,Z
P,R,IY,T
B,EH,S,T
T,R,AH,S
ER,AH,N,S
B,OY,AH,N
R,DH,AE,N
IH,N,T,AH
Z,AA,N,IH
AH,N,T,AH
AH,N,AH,N
EH,K,T,IH
K,AH,M,AH
N,L,IY,M
K,T,IH,N
EH,V,AH,L
L,M,AA,R
P,AH,P,IH
V,DH,AH,R
L,K,AH,N
K,EY,M,T
HH,OW,P,S
P,R,EH,Z
DH,AH,ER,IH
V,D,AA,R
P,AH,N,IH
D,EY,EH,S
EY,N,JH,IH
HH,AE,D,S
EH,D,S,AH
HH,IY,S,EH
Z,AO,R,D
AH,K,AH,M
N,T,UW,M
AO,R,T,S
AY,T,TH,R
AE,CH,HH,IH
L,D,DH,AH
AY,AH,N,D
R,Y,EH,N
R,M,OW,S
F,T,IH,N
Y,IH,R,R
M,EY,N,K
D,F,R,AH
UW,B,UW,S
R,IY,IH,M
IH,V,AH,T
S,IH,D,IY
B,AO,R,D
IY,Z,M,AH
N,D,P,R
S,AH,S,T
IY,M,AH,N
EH,S,P,IY
N,D,AW,T
D,K,AH,M
V,D,AH,P
Z,W,ER,AH
D,DH,AH,S
V,Z,B,AH
Z,M,AY,T
S,IH,N,D
N,D,S,EH
N,D,R,AH
IH,N,IH,T
M,DH,AH,D
ER,SH,AH,L
AH,N,Z,AH
Z,AA,R,S
S,T,AA,N
K,AA,N,AH
IH,K,HH,IY
N,S,EH,D
IH,L,IH,N
R,EY,T,AH
B,AE,NG,K
K,S,T,R
D,ER,Z,AH
HH,AE,V,L
M,IY,N,EH
L,N,AA,T
AH,N,T,M
AA,Z,IH,N
IH,N,DH,AH
T,DH,AH,T
K,UH,D,K
M,AA,R,K
N,S,IH,D
V,IH,T,S
T,R,EY,T
V,N,OW,D
K,T,R,IH
IH,T,AE,S
AA,R,D,IH
N,F,ER,AH
OW,IH,NG,EH
EH,K,AH,N
AH,K,SH,AH
S,IH,N,T
N,Z,AA,R
S,Y,IH,R
S,W,UH,D
D,EY,T,IH
UW,Z,T,R
V,IH,T,S
ER,F,AH,N
M,AW,N,T
N,P,R,EH
AH,N,Z,AH
AH,R,IH,Z
AY,V,AH,T
W,IH,CH,IH
HH,IY,K,L
L,S,OW,IH
HH,OW,L,D
OW,T,AH,L
DH,AH,M,AH
EH,K,W,AH
AH,L,CH,ER
P,AA,R,T
AH,T,S,AH
N,D,ER,EH
D,T,AY,IH
CH,AH,K,AH
IH,T,S,M
IH,B,ER,AH
K,AO,R,D
D,IH,T,S
P,OY,N,T
IH,N,DH,AH
M,AO,R,K
D,IH,S,M
T,S,W,ER
UH,SH,L,EH
ER,IH,Z,K
S,CH,AA,R
AE,N,T,EH
AH,F,IH,T
AA,D,AH,T
R,IH,P,R
DH,AH,AE,D
IY,CH,SH,EH
IY,D,AY,L
EH,K,S,AH
AH,N,K,AH
N,UW,M,ER
NG,K,AH,N
S,IY,D,Z
B,Y,UW,T
K,CH,ER,AH
R,AE,NG,K
S,F,AA,L
D,AH,P,R
AE,T,IH,T
R,EY,K,D
OW,P,AH,N
ER,M,AH,N
EY,M,AH,N
V,D,AA,L
AH,N,T,L
EY,N,F,R
Z,S,EY,IH
F,ER,EH,N
R,AH,M,T
K,OW,AH,L
T,S,P,R
AE,K,S,IH
L,K,AH,M
ER,EY,T,IH
D,AH,B,AH
AY,D,EH,N
AO,R,AO,L
IH,R,IY,AH
AH,S,P,R
D,F,AO,R
D,AH,D,ER
R,AA,P,T
AH,N,AH,L
UW,D,AH,N
N,T,R,AH
IH,N,AH,N
EH,T,ER,AH
K,W,AO,R
ER,N,EH,T
AY,S,F,L
IH,T,IH,K
HH,AE,D,P
P,R,IY,D
T,K,AH,M
AH,W,AH,L
IY,AH,N,D
R,K,AE,S
IH,T,AE,L
AH,K,SH,AH
M,T,R,AH
S,EH,D,IH
N,T,ER,P
IH,K,AA,N
IY,T,UW,S
L,EH,D,M
IH,K,AO,Z
AH,L,R,IY
AH,SH,EH,R
B,AY,N,D
R,EH,D,IH
T,IH,Z,IH
Z,IH,K,S
M,AA,R,K
AH,V,DH,AH
IH,K,AH,T
V,AO,TH,ER
T,AH,N,AH
AO,N,AA,N
HH,UW,IH,K
AH,N,W,IH
DH,AE,T,P
IH,K,S,AH
EY,L,Z,K
IH,N,K,R
T,EY,B,AH
IH,T,ER,N
V,EH,S,T
D,B,AE,K
IH,SH,AH,L
P,AO,N,P
EH,S,L,IY
S,T,ER,Z
F,ER,M,Z
T,DH,AH,S
AE,Z,EH,N
AH,M,IH,N
S,EY,L,Z
T,IH,V,AH
P,AH,N,IY
N,IY,IH,N
P,AH,N,IY
R,AA,F,AH
S,G,EY,N
N,D,AA,P
M,AH,N,T
HH,OW,T,EH
Z,N,UW,EH
AH,N,D,L
IH,K,AH,M
L,S,OW,M
L,EH,S,ER
T,B,IY,AH
DH,AH,T,R
M,P,EH,R
UW,IH,T,S
AH,M,IY,IH
Z,T,UW,D
L,IH,N,T
EH,N,IY,R
T,EH,M,P
L,IH,Z,S
T,ER,F,IH
AE,Z,AE,N
T,W,EH,L
NG,K,AO,L
D,IH,T,AH
D,IH,K,S
IY,EH,S,N
S,IH,S,T
AH,N,IH,N
S,T,R,IY
UW,S,IH,M
R,AH,L,IY
K,SH,AH,N
Z,K,AH,M
DH,AH,K,AH
T,AH,D,IH
AO,R,EY,D
JH,AH,V,L
IH,Z,N,AH
IH,D,R,IH
DH,AH,K,AH
N,W,ER,N
M,P,AH,N
S,EH,N,T
DH,AH,F,ER
M,S,IH,N
L,AH,P,M
N,T,S,IY
AH,L,AO,S
AO,R,M,ER
N,T,IH,S
F,ER,M,D
L,AH,N,S
AE,SH,AH,N
W,IH,CH,IH
R,IY,S,T
S,S,P,EH
IY,IH,N,K
AE,T,DH,AH
S,EY,V,IH
S,IH,Z,M
N,D,DH,AH
EH,N,D,AH
D,K,R,IH
S,AH,N,D
L,IH,T,IY
D,CH,EY,N
L,D,IH,N
P,R,AY,S
DH,AH,AY,D
AY,IH,NG,AH
AH,W,AO,R
AA,P,S,D
T,AH,N,Z
AH,CH,AE,Z
L,Z,P,ER
ER,L,D,S
N,K,AH,N
L,EH,V,ER
S,OW,IH,M
T,T,AH,N
IY,R,IY,P
V,AE,N,T
OW,Z,D,S
B,EY,S,T
AW,ER,OW,N
AH,D,G,R
AA,Z,JH,AH
IH,S,T,S
IY,IH,Z,L
OW,IH,NG,Z
Y,AH,N,P
T,CH,EY,N
AO,R,DH,AH
N,B,IY,K
AA,G,S,L
T,EH,V,ER
R,IH,K,T
AH,V,IH,N
IY,EH,S,S
AH,N,Z,AH
UW,S,DH,AH
IH,N,V,EH
IY,S,EH,D
T,AY,M,IH
EH,D,ER,AH
AO,R,IH,N
K,W,AY,ER
OW,D,AH,M
P,Y,UW,T
D,S,OW,L
N,CH,T,IH
AO,NG,ER,R
T,M,AA,R
ER,P,AA,L
OW,S,AH,M
DH,AH,F,ER
IH,L,Y,AH
S,B,AO,R
F,W,AH,N
T,AH,L,P
AH,N,D,P
D,D,EH,T
R,AW,N,Z
S,ER,V,AH
AO,F,ER,IH
UW,L,AE,S
V,IY,EH,S
AH,B,AH,L
OW,S,EH,D
ER,M,IH,T
CH,IH,L,D
R,K,AH,T
M,AA,R,K
R,EH,F,ER
T,B,AA,R
AE,T,TH,R
ER,V,Z,IH
M,Z,F,R
D,W,AA,Z
L,AH,M,IH
F,ER,S,T
ER,Z,IH,N
DH,EH,R,IH
SH,AH,N,S
P,AO,R,T
IH,G,Y,ER
L,AY,N,AH
T,IH,T,S
L,UW,D,Z
K,IH,NG,AH
M,AH,N,T
AA,T,AY,D
EH,K,T,ER
L,HH,OW,P
ER,M,IH,N
K,AO,R,N
EH,D,DH,AH
EH,R,IY,AH
AH,R,IY,S
IH,L,Y,AH
N,T,IH,L
IH,S,K,L
R,AH,F,ER
AH,L,Z,S
T,EH,K,N
AH,R,AY,T
S,K,AH,S
V,IY,EH,S
OW,T,AH,D
S,M,EY,D
UW,IH,M,P
AH,N,Z,AH
IH,G,Y,ER
Z,AE,Z,D
IH,T,W,EH
S,OW,L,D
DH,AH,AE,K
V,CH,IH,K
IH,S,T,AH
S,W,IY,K
IY,IY,Z,T
AE,K,T,S
EY,T,IH,D
P,R,AH,D
Z,B,IY,IH
N,DH,AH,P
IH,N,F,ER
P,OW,Z,AH
D,EH,N,T
F,ER,T,T
AA,S,T,S
IH,N,AH,S
UW,S,AH,R
AH,S,DH,AH
M,AH,CH,IH
L,AH,JH,AH
P,EH,SH,AH
P,S,EH,D
N,AO,R,IH
Y,IH,R,S
AH,N,AH,L
T,IH,D,IH
D,IH,S,P
T,UW,M,AH
Z,W,IH,L
K,R,EH,D
N,JH,DH,AH
SH,AH,N,AH
F,AY,N,AH
NG,T,UW,L
F,AO,R,AH
B,AY,P,R
T,IH,V,AH
IH,V,AH,T
N,D,P,EH
AH,N,T,L
S,K,AA,M
HH,UW,AE,S
AH,K,AH,M
AH,B,IH,L
EH,S,D,EH
SH,AH,L,S
R,IH,K,T
IY,V,IY,AH
CH,W,UH,D
DH,AH,W,ER
N,IY,R,D
EH,D,OW,N
D,L,OW,N
K,Y,UH,R
W,AH,T,AH
ER,DH,ER,R
AH,V,EY,L
AA,R,M,ER
D,AH,Z,N
ER,CH,EY,N
N,AH,T,AH
B,L,IH,K
IH,D,CH,EH
AH,V,K,AH
AE,Z,K,AH
P,L,EY,N
ER,IH,N,AH
ER,F,AW,N
EH,N,AH,N
IY,S,AH,N
IH,CH,IH,K
IY,AH,V,N
UH,M,AH,N
D,N,AA,T
IH,NG,SH,EH
IH,D,D,AH
N,AH,T,AH
IH,V,AY,Z
AA,N,IH,K
L,AH,JH,IY
AO,NG,S,IH
AA,R,JH,AH
TH,R,IY,S
AH,D,EH,N
AY,S,AH,Z
Z,S,ER,T
DH,AH,K,AH
L,IH,S,T
AH,V,DH,AH
L,UW,D,Z
T,R,AE,T
K,AA,N,T
T,ER,AE,N
AH,T,DH,AH
T,IH,S,AH
Y,ER,EY,N
DH,AH,P,AH
AY,D,AY,ER
AH,K,AO,R
JH,ER,AH,L
D,EH,D,K
P,AH,T,AH
S,T,ER,D
B,AE,R,AH
S,W,ER,S
V,N,IH,R
T,Y,IH,R
Y,IH,R,EH
AY,B,AH,L
R,IY,EH,S
SH,AH,N,R
P,AY,P,L
UW,P,R,AH
S,T,R,IY
UW,S,IH,K
AH,L,K,R
D,AH,S,T
V,ER,S,IY
T,AH,G,EH
AH,F,EH,R
K,SH,AH,N
AH,N,T,IH
S,AH,B,AH
AH,L,IH,N
EH,K,T,IH
B,AA,N,D
W,IH,D,AH
T,ER,AW,N
OW,K,S,M
ER,D,K,AH
S,T,S,IY
N,IY,S,AH
K,AO,L,D
AE,S,W,EH
V,AE,N,S
T,R,IY,S
JH,P,AA,R
Y,IH,R,AH
AH,S,T,S
S,AO,W,IY
UH,D,R,IH
L,AE,T,AH
NG,T,UW,AH
T,UW,AH,S
B,AE,NG,K
K,AA,M,EH
EH,R,IY,K
Z,IH,N,S
G,IH,L,D
T,UW,EH,M
P,ER,M,AH
IH,T,S,AH
AA,K,Y,AH
TH,R,UW,Z
F,AO,R,L
S,P,EH,K
AH,N,D,K
N,V,EH,S
IH,R,EH,K
L,S,T,EH
K,Y,UH,R
AA,G,S,L
OW,AA,P,ER
S,EH,K,AH
IH,K,W,EH
S,AH,T,AH
D,IH,T,S
L,IY,S,IH
IH,NG,R,IH
S,EY,L,Z
D,Z,W,IH
F,R,AH,M
AH,B,AW,T
S,D,IH,D
S,K,R,IY
JH,ER,Z,M
Z,B,IY,IH
V,AH,T,IH
AA,P,T,AH
T,ER,N,K
R,AA,D,AH
AH,JH,AH,N
Z,N,AA,T
AA,R,P,R
IY,S,W,IH
S,CH,EY,N
AH,K,AH,M
IY,D,UW,T
