parents,has+AF8-nurs,form,children,housing,finance,social,health,NewAttrib1,NewAttrib2,NewAttrib3,class
usual,proper,complete,+AF8-1,convenient,inconv,problematic,not+AF8-recom,usualproper,complete1convenientinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,nonprob,recommended,usualproper,complete1less+AF8-convconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,nonprob,priority,usualproper,complete1less+AF8-convconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,nonprob,not+AF8-recom,usualproper,complete1less+AF8-convconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,slightly+AF8-prob,recommended,usualproper,complete1less+AF8-convconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,slightly+AF8-prob,priority,usualproper,complete1less+AF8-convconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete1less+AF8-convconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,problematic,recommended,usualproper,complete1less+AF8-convconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,problematic,priority,usualproper,complete1less+AF8-convconvenient,problematicpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,convenient,problematic,not+AF8-recom,usualproper,complete1less+AF8-convconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,nonprob,recommended,usualproper,complete1less+AF8-convinconv,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,nonprob,priority,usualproper,complete1less+AF8-convinconv,nonprobpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,nonprob,not+AF8-recom,usualproper,complete1less+AF8-convinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,slightly+AF8-prob,recommended,usualproper,complete1less+AF8-convinconv,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,slightly+AF8-prob,priority,usualproper,complete1less+AF8-convinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete1less+AF8-convinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,problematic,recommended,usualproper,complete1less+AF8-convinconv,problematicrecommended,priority
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,problematic,priority,usualproper,complete1less+AF8-convinconv,problematicpriority,priority
usual,proper,complete,+AF8-1,less+AF8-conv,inconv,problematic,not+AF8-recom,usualproper,complete1less+AF8-convinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,convenient,nonprob,recommended,usualproper,complete1criticalconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,critical,convenient,nonprob,priority,usualproper,complete1criticalconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-1,critical,convenient,nonprob,not+AF8-recom,usualproper,complete1criticalconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,convenient,slightly+AF8-prob,recommended,usualproper,complete1criticalconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,critical,convenient,slightly+AF8-prob,priority,usualproper,complete1criticalconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,critical,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete1criticalconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,convenient,problematic,recommended,usualproper,complete1criticalconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-1,critical,convenient,problematic,priority,usualproper,complete1criticalconvenient,problematicpriority,priority
usual,proper,complete,+AF8-1,critical,convenient,problematic,not+AF8-recom,usualproper,complete1criticalconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,inconv,nonprob,recommended,usualproper,complete1criticalinconv,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,critical,inconv,nonprob,priority,usualproper,complete1criticalinconv,nonprobpriority,priority
usual,proper,complete,+AF8-1,critical,inconv,nonprob,not+AF8-recom,usualproper,complete1criticalinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,inconv,slightly+AF8-prob,recommended,usualproper,complete1criticalinconv,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-1,critical,inconv,slightly+AF8-prob,priority,usualproper,complete1criticalinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-1,critical,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete1criticalinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-1,critical,inconv,problematic,recommended,usualproper,complete1criticalinconv,problematicrecommended,priority
usual,proper,complete,+AF8-1,critical,inconv,problematic,priority,usualproper,complete1criticalinconv,problematicpriority,priority
usual,proper,complete,+AF8-1,critical,inconv,problematic,not+AF8-recom,usualproper,complete1criticalinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,convenient,nonprob,recommended,usualproper,complete2convenientconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,convenient,convenient,nonprob,priority,usualproper,complete2convenientconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-2,convenient,convenient,nonprob,not+AF8-recom,usualproper,complete2convenientconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,convenient,slightly+AF8-prob,recommended,usualproper,complete2convenientconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,convenient,convenient,slightly+AF8-prob,priority,usualproper,complete2convenientconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,convenient,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete2convenientconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,convenient,problematic,recommended,usualproper,complete2convenientconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-2,convenient,convenient,problematic,priority,usualproper,complete2convenientconvenient,problematicpriority,priority
usual,proper,complete,+AF8-2,convenient,convenient,problematic,not+AF8-recom,usualproper,complete2convenientconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,inconv,nonprob,recommended,usualproper,complete2convenientinconv,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,convenient,inconv,nonprob,priority,usualproper,complete2convenientinconv,nonprobpriority,priority
usual,proper,complete,+AF8-2,convenient,inconv,nonprob,not+AF8-recom,usualproper,complete2convenientinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,inconv,slightly+AF8-prob,recommended,usualproper,complete2convenientinconv,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,convenient,inconv,slightly+AF8-prob,priority,usualproper,complete2convenientinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,convenient,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete2convenientinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,convenient,inconv,problematic,recommended,usualproper,complete2convenientinconv,problematicrecommended,priority
usual,proper,complete,+AF8-2,convenient,inconv,problematic,priority,usualproper,complete2convenientinconv,problematicpriority,priority
usual,proper,complete,+AF8-2,convenient,inconv,problematic,not+AF8-recom,usualproper,complete2convenientinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,nonprob,recommended,usualproper,complete2less+AF8-convconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,nonprob,priority,usualproper,complete2less+AF8-convconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,nonprob,not+AF8-recom,usualproper,complete2less+AF8-convconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,slightly+AF8-prob,recommended,usualproper,complete2less+AF8-convconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,slightly+AF8-prob,priority,usualproper,complete2less+AF8-convconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete2less+AF8-convconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,problematic,recommended,usualproper,complete2less+AF8-convconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,problematic,priority,usualproper,complete2less+AF8-convconvenient,problematicpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,convenient,problematic,not+AF8-recom,usualproper,complete2less+AF8-convconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,nonprob,recommended,usualproper,complete2less+AF8-convinconv,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,nonprob,priority,usualproper,complete2less+AF8-convinconv,nonprobpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,nonprob,not+AF8-recom,usualproper,complete2less+AF8-convinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,slightly+AF8-prob,recommended,usualproper,complete2less+AF8-convinconv,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,slightly+AF8-prob,priority,usualproper,complete2less+AF8-convinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete2less+AF8-convinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,problematic,recommended,usualproper,complete2less+AF8-convinconv,problematicrecommended,priority
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,problematic,priority,usualproper,complete2less+AF8-convinconv,problematicpriority,priority
usual,proper,complete,+AF8-2,less+AF8-conv,inconv,problematic,not+AF8-recom,usualproper,complete2less+AF8-convinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,convenient,nonprob,recommended,usualproper,complete2criticalconvenient,nonprobrecommended,priority
usual,proper,complete,+AF8-2,critical,convenient,nonprob,priority,usualproper,complete2criticalconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-2,critical,convenient,nonprob,not+AF8-recom,usualproper,complete2criticalconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,convenient,slightly+AF8-prob,recommended,usualproper,complete2criticalconvenient,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-2,critical,convenient,slightly+AF8-prob,priority,usualproper,complete2criticalconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,critical,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete2criticalconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,convenient,problematic,recommended,usualproper,complete2criticalconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-2,critical,convenient,problematic,priority,usualproper,complete2criticalconvenient,problematicpriority,priority
usual,proper,complete,+AF8-2,critical,convenient,problematic,not+AF8-recom,usualproper,complete2criticalconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,inconv,nonprob,recommended,usualproper,complete2criticalinconv,nonprobrecommended,priority
usual,proper,complete,+AF8-2,critical,inconv,nonprob,priority,usualproper,complete2criticalinconv,nonprobpriority,priority
usual,proper,complete,+AF8-2,critical,inconv,nonprob,not+AF8-recom,usualproper,complete2criticalinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,inconv,slightly+AF8-prob,recommended,usualproper,complete2criticalinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-2,critical,inconv,slightly+AF8-prob,priority,usualproper,complete2criticalinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-2,critical,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete2criticalinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-2,critical,inconv,problematic,recommended,usualproper,complete2criticalinconv,problematicrecommended,priority
usual,proper,complete,+AF8-2,critical,inconv,problematic,priority,usualproper,complete2criticalinconv,problematicpriority,priority
usual,proper,complete,+AF8-2,critical,inconv,problematic,not+AF8-recom,usualproper,complete2criticalinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,convenient,nonprob,recommended,usualproper,complete3convenientconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,+AF8-3,convenient,convenient,nonprob,priority,usualproper,complete3convenientconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-3,convenient,convenient,nonprob,not+AF8-recom,usualproper,complete3convenientconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,convenient,slightly+AF8-prob,recommended,usualproper,complete3convenientconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,+AF8-3,convenient,convenient,slightly+AF8-prob,priority,usualproper,complete3convenientconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,convenient,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete3convenientconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,convenient,problematic,recommended,usualproper,complete3convenientconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-3,convenient,convenient,problematic,priority,usualproper,complete3convenientconvenient,problematicpriority,priority
usual,proper,complete,+AF8-3,convenient,convenient,problematic,not+AF8-recom,usualproper,complete3convenientconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,inconv,nonprob,recommended,usualproper,complete3convenientinconv,nonprobrecommended,priority
usual,proper,complete,+AF8-3,convenient,inconv,nonprob,priority,usualproper,complete3convenientinconv,nonprobpriority,priority
usual,proper,complete,+AF8-3,convenient,inconv,nonprob,not+AF8-recom,usualproper,complete3convenientinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,inconv,slightly+AF8-prob,recommended,usualproper,complete3convenientinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-3,convenient,inconv,slightly+AF8-prob,priority,usualproper,complete3convenientinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,convenient,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete3convenientinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,convenient,inconv,problematic,recommended,usualproper,complete3convenientinconv,problematicrecommended,priority
usual,proper,complete,+AF8-3,convenient,inconv,problematic,priority,usualproper,complete3convenientinconv,problematicpriority,priority
usual,proper,complete,+AF8-3,convenient,inconv,problematic,not+AF8-recom,usualproper,complete3convenientinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,nonprob,recommended,usualproper,complete3less+AF8-convconvenient,nonprobrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,nonprob,priority,usualproper,complete3less+AF8-convconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,nonprob,not+AF8-recom,usualproper,complete3less+AF8-convconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,slightly+AF8-prob,recommended,usualproper,complete3less+AF8-convconvenient,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,slightly+AF8-prob,priority,usualproper,complete3less+AF8-convconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete3less+AF8-convconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,problematic,recommended,usualproper,complete3less+AF8-convconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,problematic,priority,usualproper,complete3less+AF8-convconvenient,problematicpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,convenient,problematic,not+AF8-recom,usualproper,complete3less+AF8-convconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,nonprob,recommended,usualproper,complete3less+AF8-convinconv,nonprobrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,nonprob,priority,usualproper,complete3less+AF8-convinconv,nonprobpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,nonprob,not+AF8-recom,usualproper,complete3less+AF8-convinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,slightly+AF8-prob,recommended,usualproper,complete3less+AF8-convinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,slightly+AF8-prob,priority,usualproper,complete3less+AF8-convinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete3less+AF8-convinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,problematic,recommended,usualproper,complete3less+AF8-convinconv,problematicrecommended,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,problematic,priority,usualproper,complete3less+AF8-convinconv,problematicpriority,priority
usual,proper,complete,+AF8-3,less+AF8-conv,inconv,problematic,not+AF8-recom,usualproper,complete3less+AF8-convinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,convenient,nonprob,recommended,usualproper,complete3criticalconvenient,nonprobrecommended,priority
usual,proper,complete,+AF8-3,critical,convenient,nonprob,priority,usualproper,complete3criticalconvenient,nonprobpriority,priority
usual,proper,complete,+AF8-3,critical,convenient,nonprob,not+AF8-recom,usualproper,complete3criticalconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,convenient,slightly+AF8-prob,recommended,usualproper,complete3criticalconvenient,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-3,critical,convenient,slightly+AF8-prob,priority,usualproper,complete3criticalconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,critical,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,complete3criticalconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,convenient,problematic,recommended,usualproper,complete3criticalconvenient,problematicrecommended,priority
usual,proper,complete,+AF8-3,critical,convenient,problematic,priority,usualproper,complete3criticalconvenient,problematicpriority,priority
usual,proper,complete,+AF8-3,critical,convenient,problematic,not+AF8-recom,usualproper,complete3criticalconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,inconv,nonprob,recommended,usualproper,complete3criticalinconv,nonprobrecommended,priority
usual,proper,complete,+AF8-3,critical,inconv,nonprob,priority,usualproper,complete3criticalinconv,nonprobpriority,priority
usual,proper,complete,+AF8-3,critical,inconv,nonprob,not+AF8-recom,usualproper,complete3criticalinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,recommended,usualproper,complete3criticalinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,priority,usualproper,complete3criticalinconv,slightly+AF8-probpriority,priority
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,complete3criticalinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,inconv,problematic,recommended,usualproper,complete3criticalinconv,problematicrecommended,priority
usual,proper,complete,+AF8-3,critical,inconv,problematic,priority,usualproper,complete3criticalinconv,problematicpriority,priority
usual,proper,complete,+AF8-3,critical,inconv,problematic,not+AF8-recom,usualproper,complete3criticalinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,nonprob,recommended,usualproper,completemoreconvenientconvenient,nonprobrecommended,very+AF8-recom
usual,proper,complete,more,convenient,convenient,nonprob,priority,usualproper,completemoreconvenientconvenient,nonprobpriority,priority
usual,proper,complete,more,convenient,convenient,nonprob,not+AF8-recom,usualproper,completemoreconvenientconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,recommended,usualproper,completemoreconvenientconvenient,slightly+AF8-probrecommended,very+AF8-recom
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,priority,usualproper,completemoreconvenientconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,completemoreconvenientconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,problematic,recommended,usualproper,completemoreconvenientconvenient,problematicrecommended,priority
usual,proper,complete,more,convenient,convenient,problematic,priority,usualproper,completemoreconvenientconvenient,problematicpriority,priority
usual,proper,complete,more,convenient,convenient,problematic,not+AF8-recom,usualproper,completemoreconvenientconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,nonprob,recommended,usualproper,completemoreconvenientinconv,nonprobrecommended,priority
usual,proper,complete,more,convenient,inconv,nonprob,priority,usualproper,completemoreconvenientinconv,nonprobpriority,priority
usual,proper,complete,more,convenient,inconv,nonprob,not+AF8-recom,usualproper,completemoreconvenientinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,recommended,usualproper,completemoreconvenientinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,priority,usualproper,completemoreconvenientinconv,slightly+AF8-probpriority,priority
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,not+AF8-recom,usualproper,completemoreconvenientinconv,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,problematic,recommended,usualproper,completemoreconvenientinconv,problematicrecommended,priority
usual,proper,complete,more,convenient,inconv,problematic,priority,usualproper,completemoreconvenientinconv,problematicpriority,priority
usual,proper,complete,more,convenient,inconv,problematic,not+AF8-recom,usualproper,completemoreconvenientinconv,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,recommended,usualproper,completemoreless+AF8-convconvenient,nonprobrecommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,priority,usualproper,completemoreless+AF8-convconvenient,nonprobpriority,priority
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,not+AF8-recom,usualproper,completemoreless+AF8-convconvenient,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,recommended,usualproper,completemoreless+AF8-convconvenient,slightly+AF8-probrecommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,priority,usualproper,completemoreless+AF8-convconvenient,slightly+AF8-probpriority,priority
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,not+AF8-recom,usualproper,completemoreless+AF8-convconvenient,slightly+AF8-probnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,problematic,recommended,usualproper,completemoreless+AF8-convconvenient,problematicrecommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,problematic,priority,usualproper,completemoreless+AF8-convconvenient,problematicpriority,priority
usual,proper,complete,more,less+AF8-conv,convenient,problematic,not+AF8-recom,usualproper,completemoreless+AF8-convconvenient,problematicnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,recommended,usualproper,completemoreless+AF8-convinconv,nonprobrecommended,priority
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,priority,usualproper,completemoreless+AF8-convinconv,nonprobpriority,priority
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,not+AF8-recom,usualproper,completemoreless+AF8-convinconv,nonprobnot+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,inconv,slightly+AF8-prob,recommended,usualproper,completemoreless+AF8-convinconv,slightly+AF8-probrecommended,priority
usual,proper,complete,more,less+AF8-conv,inconv,slightly+AF8-prob,priority,usualproper,completemoreless+AF8-convinconv,slightly+AF8-probpriority,priority
