parents,has+AF8-nurs,form,children,housing,finance,social,health,class
usual,proper,complete,+AF8-3,critical,inconv,nonprob,priority,priority
usual,proper,complete,+AF8-3,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,+AF8-3,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,+AF8-3,critical,inconv,problematic,recommended,priority
usual,proper,complete,+AF8-3,critical,inconv,problematic,priority,priority
usual,proper,complete,+AF8-3,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,convenient,convenient,nonprob,priority,priority
usual,proper,complete,more,convenient,convenient,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,priority,priority
usual,proper,complete,more,convenient,convenient,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,convenient,problematic,recommended,priority
usual,proper,complete,more,convenient,convenient,problematic,priority,priority
usual,proper,complete,more,convenient,convenient,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,nonprob,recommended,priority
usual,proper,complete,more,convenient,inconv,nonprob,priority,priority
usual,proper,complete,more,convenient,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,convenient,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,convenient,inconv,problematic,recommended,priority
usual,proper,complete,more,convenient,inconv,problematic,priority,priority
usual,proper,complete,more,convenient,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,recommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,priority,priority
usual,proper,complete,more,less+AF8-conv,convenient,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,priority,priority
usual,proper,complete,more,less+AF8-conv,convenient,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,convenient,problematic,recommended,priority
usual,proper,complete,more,less+AF8-conv,convenient,problematic,priority,priority
usual,proper,complete,more,less+AF8-conv,convenient,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,recommended,priority
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,priority,priority
usual,proper,complete,more,less+AF8-conv,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,less+AF8-conv,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,less+AF8-conv,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,less+AF8-conv,inconv,problematic,recommended,priority
usual,proper,complete,more,less+AF8-conv,inconv,problematic,priority,priority
usual,proper,complete,more,less+AF8-conv,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,convenient,nonprob,recommended,priority
usual,proper,complete,more,critical,convenient,nonprob,priority,priority
usual,proper,complete,more,critical,convenient,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,convenient,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,convenient,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,convenient,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,convenient,problematic,recommended,priority
usual,proper,complete,more,critical,convenient,problematic,priority,priority
usual,proper,complete,more,critical,convenient,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,very+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly+AF8-prob,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,critical,inconv,problematic,not+AF8-recom,not+AF8-recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
usual,proper,complete,more,critical,inconv,nonprob,not+AF8-recom,not+AF8-recom
