OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black
Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black
Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan
Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico
Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black
Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black
Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
Adoption,,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
Return_to_owner,,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
Euthanasia,Aggressive,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
Transfer,Partner,Dog,Spayed Female,5 years,Great Dane,Black/White
Return_to_owner,,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
Return_to_owner,,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
Adoption,,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,3 years,Chow Chow Mix,Red
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,7 years,English Pointer,Liver/White
Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Return_to_owner,,Dog,Intact Female,5 months,Boxer Mix,Black/White
Transfer,Partner,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
Transfer,Partner,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
Transfer,Partner,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
Adoption,,Cat,Neutered Male,2 months,Manx Mix,White/Black
Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue
Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
Adoption,,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
Transfer,Partner,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
Adoption,Foster,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
Adoption,,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray
Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Behavior,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
Adoption,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black
Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
Return_to_owner,,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan
Adoption,,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream
Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Blue
Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White
Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
Return_to_owner,,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White
Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate
Adoption,,Dog,Neutered Male,2 years,Shih Tzu,Gray/White
Transfer,Partner,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
Adoption,,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White
Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
Euthanasia,Suffering,Cat,Intact Female,4 weeks,Siamese Mix,Blue Point
Euthanasia,Suffering,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Orange Tabby
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
Euthanasia,Aggressive,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black
Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Brown
Transfer,Partner,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White
Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black
Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Neutered Male,4 years,German Shepherd Mix,Brown
Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico
Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray
Return_to_owner,,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable
Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
Adoption,,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable
Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff
Transfer,Partner,Cat,Intact Male,3 months,Siamese Mix,Seal Point
Adoption,,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan
Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Tricolor
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
