a_0,a_1,a_2,class
AH,T,IH,T
Z,F,AO,R
M,EY,JH,ER
S,EH,T,S
JH,EH,K,T
IY,EY,SH,AH
IY,EY,T,IH
T,S,IH,T
AO,S,IH,N
IY,Z,AW,T
D,IH,D,N
AE,N,SH,AH
M,IH,T,S
AH,V,DH,AH
HH,AA,R,D
D,AH,K,R
D,EY,F,AH
D,F,UH,L
N,IH,Z,IH
N,AA,M,AH
K,AH,N,T
Z,AH,V,AH
L,EH,K,S
IH,N,V,EH
N,S,T,AH
N,IH,K,S
AO,R,AE,N
HH,AY,ER,N
N,S,T,N
B,IY,R,AH
T,IH,NG,K
IH,R,ER,L
ER,T,AH,D
OW,P,R,IH
SH,AH,L,K
ER,AH,N,T
S,AY,N,D
AH,L,ER,AH
L,AE,N,IH
UW,CH,EY,N
R,K,AH,T
IY,AE,T,N
AE,D,AH,D
T,IH,N,AH
T,K,AO,L
IH,N,S,AH
SH,UW,IH,Z
IH,T,S,K
K,W,OW,T
R,T,F,R
EH,L,AE,Z
AH,M,P,R
EH,S,T,IH
AE,T,S,EH
M,AH,N,T
IH,D,R,AH
DH,AH,AH,L
DH,AH,W,IY
IH,F,AO,R
R,AH,S,IY
N,AY,T,EH
IY,Z,R,IY
T,W,IY,K
EH,N,S,T
P,R,AA,S
P,OW,K,S
IY,V,ER,L
Z,F,AO,R
T,UW,SH,AH
T,K,AE,N
V,AO,L,T
AE,D,AH,D
V,IH,N,T
Z,T,UW,D
K,W,AY,ER
K,AH,N,AH
AE,D,AO,L
AH,G,R,IY
F,L,AH,K
UW,TH,R,IY
M,AH,N,T
N,D,ER,IH
IH,G,IH,N
K,AA,N,AH
AH,L,OW,K
F,ER,DH,ER
UW,CH,ER,IH
W,AA,Z,AH
M,AH,L,IY
P,ER,EY,T
P,R,AY,S
IH,SH,UW,AH
L,B,IY,IH
M,P,AH,N
AE,N,D,L
N,T,M,AH
T,S,EH,D
IH,N,F,AH
D,IH,T,ER
AY,S,CH,EH
EH,N,DH,AH
EY,B,AH,T
AH,K,AE,L
AH,N,EY,T
V,F,AH,N
NG,SH,EH,R
T,S,EH,D
AY,B,AO,R
IY,L,AA,R
AO,L,T,ER
S,AH,B,S
AA,T,IH,K
P,AH,B,L
AH,B,L,IH
ER,DH,AE,N
DH,AH,IH,N
K,R,IY,S
JH,AH,N,S
AE,T,DH,IH
AH,B,AY,IH
D,EH,T,R
D,IH,V,EH
IY,W,UH,D
M,AE,G,AH
R,IY,M,AH
AH,N,AE,N
N,Y,UW,AH
UH,R,AH,T
AA,D,ER,AH
IY,P,ER,T
AH,Z,IH,N
Z,AE,N,T
N,CH,ER,T
B,S,IH,D
EH,Z,AH,D
AE,T,DH,AH
V,Y,UW,T
AH,N,T,IH
AO,R,T,ER
T,S,AE,T
S,B,AO,R
R,JH,AH,N
Z,AH,N,L
IY,S,EH,D
T,S,EH,L
AH,N,T,R
HH,UW,S,EH
L,K,AA,S
IY,S,P,EH
T,IH,Z,IH
AH,L,EH,D
L,AH,N,D
ER,D,IH,S
N,IH,NG,Z
P,AH,N,IY
AH,AA,P,ER
IH,NG,M,EH
D,B,IY,AH
D,IY,AH,N
M,IH,F,EH
V,IY,AH,S
T,UW,IH,N
T,UW,S,EH
L,AH,T,IY
N,TH,S,K
AA,N,T,R
L,IY,T,R
Z,AE,F,T
IH,N,S,AH
M,AH,N,T
S,IY,V,IH
B,IY,L,IH
S,IH,K,S
CH,K,AH,S
V,EH,S,T
IH,S,K,AH
R,IH,F,L
EH,D,AH,T
IH,K,T,IH
N,D,IH,K
TH,IY,S,T
AA,R,K,S
AH,D,EY,AH
AW,N,S,T
NG,AE,T,AH
IH,F,AY,N
AY,M,W,IH
D,T,UW,EH
Z,HH,AY,AH
Z,N,AH,S
UW,S,EH,L
SH,EH,R,AH
V,DH,AH,IH
AH,K,ER,D
M,AH,N,T
AH,M,P,L
AH,V,S,IH
N,D,TH,R
K,AW,N,S
V,P,R,AH
K,AE,CH,AH
AH,T,EH,L
N,DH,EH,R
IH,T,S,N
Y,UW,N,AH
UW,EY,SH,AH
P,F,R,AH
V,AY,D,AH
AA,R,T,T
IY,S,AH,N
R,IH,Z,AH
T,L,OW,N
K,AH,N,T
L,IY,V,IH
T,AO,L,S
AY,V,Y,IH
S,K,R,IH
IH,N,T,ER
S,OW,S,EH
D,F,AO,R
ER,L,IY,ER
ER,S,EH,D
AY,ER,Y,IH
EH,S,T,IH
ER,R,IH,Z
D,DH,AH,K
P,R,IH,D
V,ER,R,IY
V,IY,EH,S
T,L,OW,ER
UW,R,AW,N
EH,K,T,S
IY,S,EH,D
UH,D,B,IY
CH,ER,Z,AH
AH,G,R,IY
M,P,EH,R
IH,NG,AH,N
NG,DH,AH,N
T,L,UH,K
K,F,AO,R
N,Z,AH,S
AE,N,S,IH
Y,IY,L,D
EY,T,IH,D
IH,S,AY,D
UH,D,B,IY
P,EH,K,T
Z,AY,N,AH
K,W,AO,R
AH,L,F,IH
JH,IH,S,T
T,IY,M,IH
OW,S,T,AH
F,ER,B,AH
IH,L,EH,K
IY,ER,EY,T
AW,F,AH,N
AH,N,D,IH
P,SH,AH,N
AH,B,AH,L
UW,HH,AY,ER
IY,D,IY,AH
AH,M,EH,S
R,EY,D,IH
B,AY,DH,AH
S,D,IH,S
W,AO,R,T
IH,S,Y,IH
D,L,AY,K
P,IH,R,D
AH,L,IH,S
UW,IH,Z,R
DH,AH,D,IH
NG,EH,K,S
AA,R,T,AH
D,AH,M,EH
AE,V,AH,N
Z,F,EY,L
D,IH,K,T
M,ER,JH,ER
D,B,AY,AH
AH,N,D,T
OW,N,L,IY
IH,NG,IH,N
ER,N,AA,T
S,IY,D,Z
CH,ER,ER,Z
IY,S,IH,Z
AH,N,F,ER
K,L,AY,N
N,AE,N,S
K,W,AH,T
UW,AH,P,R
AH,SH,AO,R
P,EH,N,D
G,AA,R,D
AH,B,S,T
Z,IH,K,S
IY,F,AO,R
S,IH,S,T
DH,AH,N,EH
AH,SH,IY,N
S,M,AO,L
Z,D,IH,Z
AH,N,M,EH
EH,K,T,IH
T,K,AH,N
V,AH,T,R
L,ER,B,AH
AH,K,AH,N
EY,M,P,IH
AH,N,S,IH
M,AH,N,T
EH,R,IH,N
F,Y,UW,AH
AH,G,UH,D
T,L,AO,S
N,IY,S,EH
P,AO,R,T
S,UW,T,AH
V,IY,EH,S
TH,K,AH,N
JH,EH,N,ER
L,T,IY,S
K,AW,N,T
IH,F,EH,K
EH,D,D,EH
IH,K,AA,N
AA,R,K,AH
R,AH,T,IY
AH,M,K,AH
EH,D,AH,N
IH,N,S,T
T,R,OW,L
IH,N,DH,EH
S,B,AE,L
AH,T,AH,L
IH,M,AH,T
N,IY,S,EH
DH,AH,OW,L
IH,M,EY,N
EY,T,AA,R
SH,AH,N,IH
AH,N,IY,EH
K,T,DH,AH
P,AH,N,IY
DH,S,P,R
R,AA,P,EH
D,AA,N,T
M,AH,N,S
OW,S,EH,D
D,EH,N,T
HH,OW,P,IH
IY,AE,N,AH
IH,S,T,S
EH,D,W,AH
T,EH,N,T
N,Y,UW,T
Y,UW,N,AH
G,OW,SH,IY
T,IH,D,AH
UW,S,EH,T
UH,D,D,AH
S,UW,M,ER
AW,K,AH,L
K,T,R,IY
R,D,D,IH
OW,S,EH,D
T,IH,D,IH
ER,V,AH,S
K,AA,N,T
Y,AH,N,AH
D,IH,K,L
Z,IH,NG,IH
T,ER,IH,N
ER,EY,T,IH
F,EH,K,T
AH,N,UW,Z
IH,T,AH,N
AH,S,T,R
ER,AH,N,D
M,P,L,IY
T,B,IH,L
AH,S,EH,S
EY,P,F,R
L,B,IY,D
Z,D,R,IY
AA,M,AH,N
AA,M,AH,N
T,W,IY,N
G,OW,S,AH
R,IY,EH,S
T,HH,IH,Z
M,AH,N,T
T,D,EH,T
R,HH,IH,Z
T,R,OW,L
T,F,OW,L
N,F,AO,R
ER,AH,T,L
AO,NG,D,IH
UW,S,T,S
F,R,UW,T
IH,L,Y,AH
D,N,AA,T
N,SH,AH,L
L,UW,D,Z
IH,N,K,L
P,R,AY,S
F,ER,S,T
EH,T,AH,L
V,IY,AH,S
D,EY,IH,T
TH,ER,AY,Z
V,AH,G,R
T,W,IH,L
K,S,T,R
T,AH,N,S
SH,AH,N,L
T,S,B,R
AH,N,T,IH
S,P,EH,K
D,AH,S,T
L,OY,L,S
ER,T,AH,D
AA,R,K,AH
V,EH,N,T
AO,R,P,ER
OW,L,D,AH
F,ER,AH,N
AH,V,DH,AH
SH,AH,N,IH
IH,T,S,T
R,S,AO,R
R,K,AH,T
IY,AH,N,S
AO,R,T,S
AH,V,IH,T
UW,M,Y,AH
HH,AE,N,D
UW,S,T,IH
AH,T,AH,D
Y,UW,M,Z
OW,Z,K,R
G,T,R,IH
T,R,AY,IH
ER,EH,K,T
B,AY,DH,AH
Z,AH,N,D
IY,D,IH,D
D,AY,V,ER
D,DH,AH,R
AO,R,T,ER
T,K,AH,N
AH,N,D,AH
EH,S,AH,N
AH,N,T,AH
T,AH,L,T
SH,AH,N,IH
T,UW,B,IY
N,AH,N,D
NG,AH,P,R
ER,ZH,AH,N
ER,AH,N,T
D,B,AY,ER
T,EY,L,Z
M,IH,N,AH
IH,Z,AO,L
Z,DH,AH,R
N,T,S,IH
N,Z,IH,N
T,UW,R,AH
AE,S,T,IH
IH,D,IH,N
AH,F,ER,S
T,F,AO,R
L,AO,S,AH
AH,L,AA,R
D,EH,S,T
EH,D,AE,Z
AE,N,AA,T
ER,IH,NG,AH
NG,AH,P,R
AW,ER,W,IY
K,L,UW,D
S,OW,T,IH
T,IH,L,T
S,T,UW,R
D,AH,B,AH
P,EH,N,D
AH,V,T,ER
D,IH,D,AH
P,ER,CH,AH
Z,AH,N,D
M,ER,Z,AH
N,S,G,R
OW,T,AH,L
N,S,AA,N
P,L,IY,T
Y,UW,EY,T
IH,T,S,IH
S,IH,S,T
D,F,AO,R
T,UW,S,EH
UH,D,B,IY
P,AH,N,IY
ER,AO,L,K
P,OW,Z,D
AY,L,AH,D
DH,AH,P,R
IH,NG,DH,AH
S,IH,K,S
K,AA,N,T
AA,N,T,R
Z,T,UW,IH
JH,AA,P,ER
T,F,AO,R
B,IH,N,R
AY,T,L,IY
Z,IH,K,S
AO,R,P,ER
S,IH,D,IY
D,AH,K,T
IH,DH,DH,AH
IY,AH,S,AH
AE,D,W,AH
AO,R,S,AH
M,M,AA,R
S,T,UW,T
R,T,AH,N
AE,T,S,T
IY,Z,AH,K
AW,N,S,IH
R,EH,Z,AH
Z,B,IH,K
S,IH,S,T
UW,D,EY,T
UW,AH,N,S
N,EY,SH,AH
AY,W,AH,N
R,OW,TH,R
K,R,EH,D
AH,M,P,IY
T,R,IH,S
IH,S,K,S
Z,EY,SH,AH
IH,N,DH,IH
R,AH,S,T
AH,K,SH,AH
IH,SH,AH,N
T,D,UW,N
N,T,R,AH
T,AH,N,D
AW,EH,V,ER
AE,SH,AH,N
P,EH,SH,AH
D,IH,T,S
T,N,AH,S
AH,V,EH,N
D,AA,N,IH
IH,Z,AH,L
V,AO,F,AH
M,AH,N,T
IH,D,EH,N
AH,N,TH,AH
AH,V,AE,N
S,AH,Z,AH
D,AH,B,EH
AA,N,DH,AH
IY,L,AA,R
EH,D,IH,T
AE,N,Z,IH
HH,AE,V,AH
AH,L,P,L
AH,N,D,R
D,G,EY,N
DH,EY,P,L
IY,M,AY,T
L,AE,N,T
EH,K,SH,AH
UW,DH,AH,S
IY,Z,IH,N
AH,B,AY,IH
