a_0,a_1,a_2,class
AE,T,DH,AH
B,AH,T,S
D,DH,AH,R
AH,N,T,IH
D,HH,IH,S
T,P,EY,AH
K,SH,AH,N
B,L,IH,K
IH,S,T,IH
R,S,AH,Z
T,AH,N,T
T,IH,NG,S
AH,N,AH,T
K,AY,N,D
K,AH,N,T
AH,K,AO,R
R,AE,K,T
T,S,T,R
Z,D,AE,N
IY,HH,AE,Z
W,AH,N,Z
AY,L,EH,K
AH,L,T,T
S,S,EH,K
Z,AH,Z,AH
ER,D,IH,K
R,M,B,IH
D,DH,AH,D
R,IY,F,AH
EY,SH,AH,N
R,Y,IH,R
L,Y,AH,N
AH,S,T,T
K,S,AH,N
R,IY,K,AH
EH,D,IH,T
S,EH,D,IH
DH,AH,T,R
S,P,AH,S
V,IY,EH,S
S,G,EY,N
AH,N,T,AH
AH,N,T,AH
T,S,EH,D
T,N,AY,N
EH,D,AH,K
SH,AH,N,AH
B,AE,NG,K
T,EH,R,IH
NG,K,AH,N
N,T,AA,N
AO,Z,DH,AH
B,L,AE,K
W,AH,N,S
DH,AH,EH,N
ER,F,AO,R
EH,D,IH,T
UW,AE,N,IH
R,AH,P,R
S,EH,D,IH
SH,EH,R,Z
W,AY,ER,D
D,DH,AH,R
S,CH,EY,N
M,P,L,AH
D,R,IY,N
K,R,IY,S
K,L,OW,Z
IY,AH,M,R
AH,M,IH,T
V,IH,N,K
V,IY,EH,S
EH,JH,UH,L
AA,R,Z,IH
JH,AH,Z,AH
HH,AE,Z,R
T,R,OW,L
D,W,UH,D
B,OW,TH,AH
D,DH,AH,T
T,T,AH,D
S,M,EY,D
P,ER,EY,T
AA,R,AE,K
N,CH,EY,N
SH,AH,N,Z
T,UW,AE,K
R,AA,M,AH
IY,EH,S,S
S,P,AO,R
K,W,EH,S
F,AO,R,AH
S,AH,B,S
R,AE,N,T
W,UH,D,R
AH,S,IH,Z
N,B,IH,T
AH,N,UW,D
IH,NG,W,IH
R,EY,D,IH
EY,N,JH,AH
AH,EH,TH,IH
K,T,IH,D
R,IY,JH,AH
R,AY,S,AH
L,IY,V,Z
P,OW,Z,AH
AA,D,AH,K
AE,N,CH,S
SH,EH,R,Z
T,IH,NG,T
P,AO,R,T
M,AH,N,T
AH,T,ER,N
S,AH,F,IH
M,AE,N,D
S,AY,Z,D
L,R,IY,Z
UW,S,AH,K
IH,S,S,AH
AH,L,AA,R
T,P,AA,R
W,IH,DH,AH
W,AO,R,T
S,IH,N,S
K,R,IY,S
DH,AH,D,IH
CH,HH,AE,Z
T,IH,D,IH
M,AA,R,K
EH,N,D,T
JH,D,DH,AH
R,D,AH,N
D,W,IH,L
AO,NG,D,IH
S,N,AY,N
IY,M,AH,N
T,S,IH,K
EH,N,D,AH
T,AH,L,D
AH,K,AH,N
R,EY,D,IH
S,W,IH,L
R,TH,IY,S
EY,B,AH,L
F,T,IH,N
AH,D,EH,N
K,AH,L,Z
N,CH,AE,N
S,F,R,AH
IH,N,V,AH
EH,R,AH,N
N,AH,M,IH
AH,CH,AE,Z
Z,AY,N,Z
M,AA,R,K
IH,N,D,AH
IY,Z,EH,N
ER,N,AH,L
W,ER,L,D
AH,L,T,S
S,EY,L,AH
IH,N,EH,N
AH,W,AH,L
IH,SH,AH,N
N,Z,W,IH
N,JH,AH,N
V,K,OW,L
M,AH,N,T
IH,T,S,AH
S,T,UW,R
AH,B,AW,T
AE,T,T,AH
IH,S,T,R
K,EY,SH,AH
M,AH,N,T
TH,M,AA,D
S,T,AE,N
R,IY,Z,T
M,AH,L,S
S,W,ER,R
D,IY,L,IH
T,AA,R,N
F,ER,M,Z
D,AE,K,S
IH,NG,S,K
ER,DH,ER,K
UW,R,UW,L
S,ER,P,L
S,EH,L,S
S,G,EY,N
S,P,AH,S
M,P,AH,N
N,M,EY,K
T,S,T,R
OW,K,EY,T
P,EH,R,D
V,IY,EH,S
ER,L,D,S
EY,D,ER,IH
R,EY,T,R
AH,L,AA,R
K,W,AH,T
S,T,P,L
IY,EY,T,AH
N,AA,T,IH
AH,F,AH,N
EH,N,IY,S
S,T,S,AH
P,M,AH,N
T,UW,DH,AH
L,EH,V,AH
EH,Z,AH,D
T,EY,K,AH
N,SH,AH,N
T,HH,AE,Z
B,IH,N,AH
N,Y,UW,T
S,T,D,R
IH,NG,IH,N
W,AH,Z,IH
K,AH,N,T
N,AH,T,AH
N,S,EH,D
AE,NG,K,S
K,R,AY,S
AA,Z,IH,N
M,W,UH,D
N,Z,B,AH
P,R,IY,T
T,S,EH,D
IH,L,AH,T
IY,DH,AE,T
V,IH,ZH,AH
IH,S,K,AH
K,K,AH,N
W,UH,D,N
D,Z,IH,N
T,ER,EH,N
P,EH,R,D
EH,R,IH,Z
S,K,AW,N
AH,N,D,L
IH,NG,K,AH
K,AH,N,S
AE,N,N,AH
T,T,UW,R
Z,AE,T,AH
R,AA,B,L
L,P,R,AH
R,D,AH,N
ER,AH,L,L
AH,M,P,AH
AH,F,ER,S
AE,D,B,IH
ER,JH,S,IH
IY,D,IH,D
L,S,EH,N
AH,N,TH,S
IH,S,P,AH
K,AA,N,T
AO,R,G,AH
M,EH,T,R
M,P,AH,N
T,AH,N,Z
N,Z,R,IH
NG,T,EH,K
UW,S,ER,Z
IH,N,AO,L
IH,N,D,AH
IH,L,OW,L
L,Y,AH,N
Z,K,AH,N
DH,AH,IH,K
UW,SH,AH,N
Z,B,AA,T
L,OW,N,Z
K,CH,ER,IH
OW,Z,D,S
K,AA,N,T
R,D,AH,N
ER,DH,AH,N
S,P,OY,N
IY,S,EH,T
OY,S,B,AH
AY,S,D,IH
M,D,K,AH
OW,S,EH,D
N,AH,M,IH
N,D,IH,N
IH,M,AH,L
D,T,AO,K
T,IH,T,S
P,AO,R,T
IY,S,ER,T
W,IH,DH,AH
K,K,AA,S
R,T,IH,D
R,AA,F,AH
JH,AH,N,S
N,V,EH,S
EY,SH,AH,N
UW,R,IH,S
P,L,IY,R
L,D,EH,T
IH,NG,IH,N
IH,K,AO,Z
IH,N,Y,IH
IH,N,DH,AH
EH,D,IY,IH
R,AE,K,T
B,IY,AY,D
AH,T,W,IH
T,W,IH,L
IY,F,AH,N
N,SH,AH,L
NG,M,IH,L
AE,V,B,IH
AA,P,N,AH
DH,AH,R,AH
OY,D,IH,N
S,P,AO,R
L,Y,UW,Z
B,AH,L,Z
AH,M,D,IH
IH,F,AY,N
R,EH,Z,AH
AY,AE,F,T
T,AH,Z,N
N,EY,SH,AH
AE,N,D,AH
F,EH,L,T
T,ER,EH,N
AH,Y,IH,R
IH,L,Y,AH
S,AO,R,S
EY,N,JH,L
S,AH,Z,AH
T,IY,AH,N
L,M,AE,N
AH,P,F,R
M,B,ER,AH
NG,S,EH,K
AH,M,EH,S
M,EH,K,S
EH,N,S,T
AE,N,D,AH
V,R,IY,S
AH,N,D,IH
R,IH,Z,AH
AH,K,AO,R
T,M,AH,N
AY,S,AH,Z
P,EH,R,D
M,EY,T,AH
AY,N,Z,AH
JH,IH,T,T
AH,T,AO,R
T,IH,N,T
NG,DH,IH,S
AA,M,IH,K
AH,F,IH,T
ER,D,IH,K
S,OW,DH,AH
CH,IH,L,D
F,AE,M,AH
UW,P,EH,S
IY,P,AO,R
Z,N,AH,S
AA,N,T,S
UW,M,AA,R
F,L,EH,K
EY,T,IH,Z
ER,R,AY,T
AH,T,F,AH
R,T,S,T
L,IY,IY,K
AH,M,AA,R
L,EH,K,S
AA,Z,DH,AH
S,M,IH,N
AH,B,S,IH
UH,R,AH,T
SH,AH,L,N
IY,EY,SH,AH
K,L,IH,R
ER,AH,N,S
IY,K,EH,K
L,AY,N,L
K,S,AE,T
P,L,AY,D
IH,F,DH,AH
AY,N,AH,L
EH,N,D,AH
T,IH,D,T
AH,N,D,AH
IY,D,IH,K
N,IH,NG,Z
AH,M,AW,N
R,EY,D,D
AO,R,T,S
S,EH,P,T
UW,Z,AH,N
AH,P,AH,T
M,B,ER,Z
AA,P,ER,T
ER,V,R,IH
N,DH,AH,L
S,EY,M,K
AO,R,DH,AH
B,AW,T,T
AH,N,D,IH
AH,S,B,R
OW,T,AH,L
R,OW,Z,T
AH,AH,N,D
ER,EY,SH,AH
T,AH,D,T
T,UW,S,AH
F,T,ER,AH
T,B,IY,AH
AH,T,AO,K
ER,F,AO,R
K,AH,N,D
P,AO,R,T
L,B,IY,IH
EY,T,ER,T
OW,L,D,IH
EH,D,AH,T
N,T,R,AH
F,AO,R,AH
HH,IH,N,T
IY,W,AA,Z
M,AH,L,T
P,R,AY,S
P,IH,R,D
AH,P,OW,L
W,AO,R,AH
F,IH,K,S
R,EH,N,D
Y,IH,R,Z
UW,P,AO,N
P,ER,CH,AH
S,P,EH,K
UW,V,AH,L
AH,W,ER,K
S,P,OW,K
N,S,EH,D
EY,SH,AH,N
IH,M,IH,T
T,AY,L,Z
AH,L,IY,S
N,AA,T,T
AH,S,IH,T
B,AH,L,IH
Z,HH,AE,N
D,DH,IH,S
EY,DH,AH,S
AH,S,T,AH
M,OW,N,L
IY,S,AH,N
AH,K,IY,R
IY,Y,IH,R
D,AE,Z,T
AH,T,W,IH
N,Z,AH,N
N,K,AA,S
P,AH,Z,IH
CH,AH,S,AH
K,T,ER,Z
R,IH,Z,AH
S,IY,Z,AH
M,AH,N,T
EH,R,IY,D
AH,V,EY,L
AH,B,AH,L
T,IH,N,K
N,Y,UW,Z
IY,D,IH,S
DH,DH,AH,R
D,IH,T,IH
EH,D,IH,T
Z,F,AO,R
EY,M,AH,N
ER,T,EY,K
ER,SH,AA,K
W,AH,L,T
N,EY,T,IH
AO,R,T,S
G,ER,D,R
T,S,W,IH
D,EH,N,T
N,UW,Z,K
Z,W,ER,N
R,IH,Z,AH
IH,NG,K,AH
B,IY,IH,N
CH,W,IH,L
D,AH,N,D
V,F,AA,L
AH,L,Z,AH
L,S,T,R
AE,K,T,IH
AH,K,AA,S
N,IH,Z,K
D,DH,AH,N
AH,G,EH,N
N,T,EH,K
M,AH,N,T
S,EH,D,IH
P,EH,R,D
T,UW,F,AH
AH,L,Y,IH
IH,T,W,IH
Z,IH,S,T
JH,AH,S,T
AH,K,AW,N
T,ER,AH,N
T,ER,DH,IH
AA,D,AH,K
IY,AH,L,S
S,K,S,IH
IY,M,EH,N
UW,IH,N,K
L,AY,B,R
L,D,W,IH
UH,D,S,T
IH,ZH,AH,N
F,DH,AH,IH
AH,B,AW,T
AE,P,AH,D
T,AH,M,Z
V,IY,EH,S
AH,P,AH,L
IH,Z,EH,N
AA,K,IH,N
Z,M,EY,N
IH,R,EH,S
P,HH,AE,D
AW,N,K,AH
NG,B,AA,R
SH,AH,N,T
UW,HH,EH,L
G,Y,AH,L
P,R,AA,D
N,AA,T,R
K,R,IY,S
AO,N,CH,K
DH,AH,AO,R
AA,Z,P,R
AA,Z,AO,L
IH,P,M,AH
NG,DH,AH,K
V,HH,AE,D
S,T,ER,N
T,T,UW,N
P,AA,S,AH
V,R,AH,K
ER,T,AH,D
AH,M,P,AH
EY,M,DH,AH
NG,K,AA,S
T,IH,V,L
OW,L,D,R
AE,T,AE,T
S,EY,L,Z
AH,V,B,IH
R,N,UW,Z
SH,AH,N,AH
EY,M,AH,N
JH,R,EY,T
EY,T,S,IH
UW,HH,OW,L
M,AA,N,AH
IH,N,AH,S
AH,B,S,T
S,T,B,AH
T,DH,AH,IH
S,T,AE,T
AA,R,K,AH
D,DH,AH,AH
R,IY,Z,R
N,S,IH,D
AH,N,IY,R
N,SH,AH,L
IH,F,IH,K
L,B,IY,AH
R,T,ER,Z
ER,K,K,AH
N,D,AH,S
V,IY,EH,S
S,P,OW,K
R,IY,AH,N
EH,K,T,S
TH,AH,V,K
EY,M,AH,N
M,OW,S,T
Y,IH,R,N
S,T,R,IH
IH,N,DH,AH
K,L,OW,Z
IH,T,S,AH
L,IH,M,AH
V,AH,T,L
L,AH,K,AH
K,AH,M,IH
DH,D,IH,T
IH,NG,K,AH
M,B,AY,N
T,ER,EY,T
Y,UW,N,AH
S,AH,Z,AH
D,EH,K,S
AA,R,K,AH
R,UW,V,S
IH,T,IH,N
UW,T,ER,S
EH,D,IH,T
IH,F,EH,K
AH,V,W,AH
N,S,M,AH
UW,K,AE,R
W,AA,Z,IH
T,UW,K,AH
DH,AH,K,AH
L,Y,AH,N
SH,AH,N,IH
N,D,ER,R
Z,F,AO,R
AH,T,AH,L
AH,V,AH,S
SH,IY,T,R
S,EY,V,IH
N,AA,M,IH
T,IH,N,K
ER,W,EH,N
P,R,AA,S
S,T,W,IH
AH,M,IH,T
IH,R,AO,L
AH,L,T,S
IH,Z,AH,L
F,IH,T,AH
IH,L,IH,T
AE,SH,AH,N
L,EY,SH,AH
SH,AH,N,Z
IH,R,IY,AH
L,S,OW,IH
D,L,AY,K
L,B,IH,T
N,AH,T,S
T,AH,N,D
AY,Z,IH,Z
Y,UW,T,IH
R,T,S,IH
N,S,IH,Z
R,IH,D,IH
M,OW,S,T
S,ER,Z,IH
P,EH,SH,AH
IH,NG,EH,N
AH,D,UW,S
IY,S,EH,D
D,N,AA,T
D,S,T,IH
K,AE,F,T
N,D,AH,S
D,ER,Z,S
R,AO,D,K
ER,Z,AA,R
N,P,AA,R
OW,S,T,AH
EH,V,AH,N
B,AE,L,AH
AW,T,EH,N
AH,M,AE,N
L,AH,N,S
R,P,AA,R
P,AA,R,T
R,IH,F,L
AE,K,SH,AH
P,M,AH,N
AE,N,T,IH
ER,N,AH,L
AH,N,IY,IH
M,P,AH,N
N,W,IH,L
R,IY,D,AH
AE,N,IH,N
F,ER,M,T
R,W,ER,D
V,Z,W,IH
EH,K,T,AH
EH,T,IH,N
K,AO,Z,AH
AY,AH,B,IH
T,UW,IH,S
IH,L,Y,AH
M,IH,S,AH
D,D,IH,K
P,ER,EY,T
Z,N,AH,S
AH,S,IH,N
P,R,EH,Z
DH,IY,Z,N
M,AH,CH,S
N,AA,M,IH
AH,B,S,K
R,T,IH,D
IH,N,K,AH
T,D,R,AH
D,AY,Z,S
CH,IY,F,IH
S,T,EY,T
S,T,Y,IH
ER,ZH,AH,N
IH,F,EH,K
AE,N,D,IH
AH,F,EH,D
Z,D,S,AH
R,HH,AE,Z
AH,IH,K,S
K,AE,P,AH
AH,L,IH,N
OW,N,G,R
N,D,IH,N
B,IY,G,IH
AH,CH,T,R
AE,L,AH,N
SH,AH,N,T
F,AO,R,AH
IY,V,IY,AH
UW,IH,T,S
AH,F,AY,S
IH,P,M,AH
K,L,EH,R
T,UW,D,IH
S,T,EY,K
F,AH,V,IH
EH,S,IH,N
NG,TH,AH,N
AE,K,SH,AH
Z,IH,T,S
D,IY,OW,K
AH,D,EH,S
R,EY,N,Z
AY,Z,DH,AH
B,IH,L,AH
IH,K,AH,T
K,S,IY,D
B,AE,R,AH
AH,L,IH,S
UH,K,AH,S
Z,S,EH,D
IY,P,D,IH
AE,K,AH,N
DH,AE,T,D
IY,EY,T,IH
B,EY,S,AH
L,AH,T,IH
T,AH,N,D
AA,M,AH,N
AH,K,AO,R
N,N,IH,R
ER,S,T,S
AE,T,EH,N
N,K,IH,L
Y,UW,T,IH
Y,AH,N,K
R,W,AA,Z
S,AH,N,D
AH,M,P,AH
AA,P,ER,T
AE,N,T,S
T,S,EH,N
B,AW,T,T
OY,L,IH,N
S,T,P,R
N,D,AH,N
AH,EH,N,D
V,M,AH,N
N,HH,AE,N
AH,N,AH,Z
UW,DH,AH,L
EY,JH,AH,N
D,IH,S,K
AH,S,T,K
W,AO,N,T
AA,T,S,K
AW,N,G,R
D,EH,N,D
EH,R,Z,IH
IH,M,AE,N
D,AH,N,D
DH,EY,W,IH
AE,D,AH,D
K,ER,AH,N
AH,N,S,T
UW,S,ER,Z
M,AH,N,T
AH,D,EY,T
IH,K,S,T
T,UW,B,IH
AH,L,EH,T
AH,G,UH,D
D,AH,P,R
Z,D,DH,AH
HH,OW,L,D
SH,AH,N,K
T,S,EH,D
AH,N,S,IH
AO,R,T,IH
EH,R,M,AH
R,M,AH,N
ER,CH,EH,R
S,T,IH,N
N,EY,T,IH
Y,IY,L,D
K,S,M,AH
S,P,AO,R
N,DH,EH,R
OW,S,EH,D
AH,L,Y,IH
R,AH,L,Z
T,AH,L,AH
IH,NG,P,R
M,Y,UW,T
R,M,AH,N
IH,ZH,AH,N
JH,AH,W,AH
AH,N,T,S
P,AO,R,T
AH,N,IY,S
AH,L,AA,T
Z,M,AO,R
M,EY,T,AH
AH,V,EY,K
OW,K,AO,L
M,Z,AA,N
R,IY,S,AH
Z,AH,T,T
M,AH,N,T
AH,M,AA,R
S,T,AE,T
D,AA,N,T
T,IH,V,K
T,S,AH,N
IH,D,D,IH
UW,HH,OW,L
S,T,EY,T
AH,N,T,IH
ER,F,AO,R
D,AE,N,AH
IY,AA,R,N
M,UW,V,IH
K,AO,L,D
D,T,UW,R
EH,R,M,AH
K,Y,UH,R
EH,T,AH,N
T,AH,L,AH
D,EY,T,AH
P,L,AY,Z
N,T,IH,N
Z,F,R,AH
D,IH,S,K
P,R,AY,S
HH,AY,ER,T
EY,SH,AH,N
AH,N,AH,L
IH,T,S,K
D,UW,S,IH
S,P,AO,R
ER,EY,T,IH
L,P,R,IH
AW,N,T,AH
S,CH,EY,N
IY,S,EH,D
S,IH,N,D
Z,AH,K,R
AH,K,T,L
AE,NG,K,S
T,W,ER,S
IH,L,Y,AH
N,D,IH,Z
K,IY,AH,N
AY,AH,B,IH
EH,R,Z,AH
ER,M,Z,IH
K,AA,N,T
EH,D,IH,T
Z,AH,N,D
EH,D,IH,T
IH,N,S,T
S,T,AE,N
G,R,EY,D
OW,T,AH,L
DH,EH,R,IH
ER,D,IH,S
L,T,UW,S
AH,N,T,K
T,ER,B,IH
EH,M,P,T
Z,DH,AH,K
Z,AH,L,T
W,AH,T,T
IY,F,F,AH
F,EY,S,T
AH,B,EY,T
R,D,IH,S
N,IH,S,AH
IY,AH,D,Z
M,AE,N,AH
AA,Z,EH,K
M,IH,K,D
P,R,IH,N
N,P,AA,R
Z,IH,F,N
IY,D,IY,AH
EH,R,IY,AH
AE,NG,K,R
R,IH,Z,AH
L,T,ER,L
N,D,ER,L
AE,D,B,IH
AH,D,IH,N
AY,V,AH,T
JH,AH,N,S
AH,N,F,IH
D,F,AO,R
IY,K,S,T
T,IH,D,N
UW,P,AH,L
R,AH,N,IH
R,IH,N,S
W,AA,Z,K
T,DH,OW,Z
F,AO,R,R
CH,K,EY,S
AA,D,AH,K
AH,V,AY,D
EH,Z,AH,N
N,AH,V,R
AH,AH,D,IH
OW,AH,P,IH
OW,Z,AH,L
L,CH,EY,N
EY,K,DH,IH
B,AO,R,D
AA,N,D,AH
S,M,AH,N
Z,L,AY,K
T,AH,D,IH
AH,S,ER,AH
P,AH,N,Z
V,AE,N,IH
IH,T,W,IH
T,AA,K,S
SH,EH,R,Z
UW,S,IH,T
AH,D,AH,K
L,R,EH,D
EH,D,AH,N
D,IH,K,R
L,AY,AH,N
D,F,AO,R
Z,S,EH,D
Z,F,R,AH
R,IH,Z,IH
Z,IH,K,S
R,EH,P,R
